Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 34, 29, 60, 2568, 0.362, 0.540, 0.433, 0.935, 14.450
ArgoUML, 19, 44, 40, 2588, 0.322, 0.302, 0.311, 0.927, 12.755
Columba, 29, 34, 48, 2580, 0.377, 0.460, 0.414, 0.938, 15.087
EMF, 26, 37, 48, 2580, 0.351, 0.413, 0.380, 0.933, 14.008
Hibernate, 27, 36, 50, 2578, 0.351, 0.429, 0.386, 0.933, 13.978
JEdit, 30, 33, 189, 2439, 0.137, 0.476, 0.213, 0.829, 4.851
JFreeChart, 35, 28, 106, 2522, 0.248, 0.556, 0.343, 0.906, 9.603
JMeter, 24, 39, 39, 2589, 0.381, 0.381, 0.381, 0.939, 15.272
JRuby, 34, 29, 28, 2600, 0.548, 0.540, 0.544, 0.957, 22.424
SQuirrel, 26, 37, 39, 2589, 0.400, 0.413, 0.406, 0.941, 16.086
Dubbo, 28, 35, 44, 2584, 0.389, 0.444, 0.415, 0.940, 15.611
Gradle, 25, 38, 27, 2601, 0.481, 0.397, 0.435, 0.951, 19.536
Groovy, 26, 37, 53, 2575, 0.329, 0.413, 0.366, 0.929, 13.058
Hive, 36, 27, 31, 2597, 0.537, 0.571, 0.554, 0.956, 21.951
Maven, 24, 39, 46, 2582, 0.343, 0.381, 0.361, 0.932, 13.645
Poi, 34, 29, 33, 2595, 0.507, 0.540, 0.523, 0.954, 20.676
SpringFramework, 26, 37, 33, 2595, 0.441, 0.413, 0.426, 0.947, 17.823
Storm, 32, 31, 43, 2585, 0.427, 0.508, 0.464, 0.945, 17.225
Tomcat, 41, 22, 34, 2594, 0.547, 0.651, 0.594, 0.957, 22.350
