Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 55, 73, 20, 3942, 0.733, 0.430, 0.542, 0.957, 22.432
ArgoUML, 78, 50, 17, 3945, 0.821, 0.609, 0.700, 0.962, 25.235
EMF, 88, 40, 21, 3941, 0.807, 0.688, 0.743, 0.961, 24.797
Hibernate, 98, 30, 46, 3916, 0.681, 0.766, 0.721, 0.954, 20.746
JEdit, 59, 69, 77, 3885, 0.434, 0.461, 0.447, 0.928, 12.862
JFreeChart, 99, 29, 55, 3907, 0.643, 0.773, 0.702, 0.951, 19.541
JMeter, 84, 44, 20, 3942, 0.808, 0.656, 0.724, 0.961, 24.808
JRuby, 108, 20, 11, 3951, 0.908, 0.844, 0.874, 0.966, 27.999
SQuirrel, 92, 36, 21, 3941, 0.814, 0.719, 0.763, 0.962, 25.015
Dubbo, 70, 58, 20, 3942, 0.778, 0.547, 0.642, 0.960, 23.852
Gradle, 56, 72, 6, 3956, 0.903, 0.438, 0.589, 0.965, 27.861
Groovy, 92, 36, 27, 3935, 0.773, 0.719, 0.745, 0.960, 23.703
Hive, 104, 24, 25, 3937, 0.806, 0.813, 0.809, 0.961, 24.761
Maven, 79, 49, 22, 3940, 0.782, 0.617, 0.690, 0.960, 23.993
Poi, 107, 21, 27, 3935, 0.799, 0.836, 0.817, 0.961, 24.515
SpringFramework, 98, 30, 17, 3945, 0.852, 0.766, 0.807, 0.963, 26.230
Storm, 92, 36, 25, 3937, 0.786, 0.719, 0.751, 0.960, 24.126
Tomcat, 104, 24, 20, 3942, 0.839, 0.813, 0.825, 0.963, 25.799
Zookeeper, 81, 47, 14, 3948, 0.853, 0.633, 0.726, 0.963, 26.244
