Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 32, 69, 21, 2372, 0.604, 0.317, 0.416, 0.933, 13.909
ArgoUML, 39, 62, 13, 2380, 0.750, 0.386, 0.510, 0.946, 17.520
Columba, 66, 35, 28, 2365, 0.702, 0.653, 0.677, 0.942, 16.338
EMF, 47, 54, 12, 2381, 0.797, 0.465, 0.588, 0.949, 18.671
Hibernate, 54, 47, 24, 2369, 0.692, 0.535, 0.603, 0.942, 16.095
JEdit, 36, 65, 58, 2335, 0.383, 0.356, 0.369, 0.894, 8.457
JMeter, 56, 45, 17, 2376, 0.767, 0.554, 0.644, 0.947, 17.943
JRuby, 77, 24, 29, 2364, 0.726, 0.762, 0.744, 0.944, 16.937
SQuirrel, 51, 50, 17, 2376, 0.750, 0.505, 0.604, 0.946, 17.520
Dubbo, 54, 47, 14, 2379, 0.794, 0.535, 0.639, 0.949, 18.609
Gradle, 31, 70, 12, 2381, 0.721, 0.307, 0.431, 0.944, 16.802
Groovy, 45, 56, 7, 2386, 0.865, 0.446, 0.588, 0.953, 20.369
Hive, 72, 29, 41, 2352, 0.637, 0.713, 0.673, 0.936, 14.734
Maven, 42, 59, 14, 2379, 0.750, 0.416, 0.535, 0.946, 17.520
Poi, 68, 33, 33, 2360, 0.673, 0.673, 0.673, 0.940, 15.625
SpringFramework, 53, 48, 19, 2374, 0.736, 0.525, 0.613, 0.945, 17.177
Storm, 50, 51, 20, 2373, 0.714, 0.495, 0.585, 0.943, 16.638
Tomcat, 74, 27, 47, 2346, 0.612, 0.733, 0.667, 0.934, 14.102
Zookeeper, 53, 48, 23, 2370, 0.697, 0.525, 0.599, 0.942, 16.220
