Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 182, 139, 143, 2860, 0.560, 0.567, 0.563, 0.828, 4.799
ArgoUML, 210, 111, 192, 2811, 0.522, 0.654, 0.581, 0.815, 4.409
Columba, 252, 69, 174, 2829, 0.592, 0.785, 0.675, 0.837, 5.126
EMF, 248, 73, 169, 2834, 0.595, 0.773, 0.672, 0.838, 5.158
Hibernate, 250, 71, 175, 2828, 0.588, 0.779, 0.670, 0.836, 5.091
JEdit, 209, 112, 300, 2703, 0.411, 0.651, 0.504, 0.765, 3.252
JFreeChart, 257, 64, 320, 2683, 0.445, 0.801, 0.572, 0.783, 3.612
JMeter, 240, 81, 138, 2865, 0.635, 0.748, 0.687, 0.848, 5.575
JRuby, 233, 88, 132, 2871, 0.638, 0.726, 0.679, 0.849, 5.610
SQuirrel, 247, 74, 192, 2811, 0.563, 0.769, 0.650, 0.828, 4.826
Dubbo, 211, 110, 164, 2839, 0.563, 0.657, 0.606, 0.828, 4.826
Groovy, 222, 99, 136, 2867, 0.620, 0.692, 0.654, 0.844, 5.421
Hive, 245, 76, 162, 2841, 0.602, 0.763, 0.673, 0.840, 5.233
Maven, 203, 118, 150, 2853, 0.575, 0.632, 0.602, 0.832, 4.955
Poi, 243, 78, 173, 2830, 0.584, 0.757, 0.659, 0.835, 5.049
SpringFramework, 231, 90, 153, 2850, 0.602, 0.720, 0.655, 0.839, 5.229
Storm, 248, 73, 194, 2809, 0.561, 0.773, 0.650, 0.828, 4.810
Tomcat, 254, 67, 188, 2815, 0.575, 0.791, 0.666, 0.832, 4.951
Zookeeper, 208, 113, 142, 2861, 0.594, 0.648, 0.620, 0.838, 5.154
