TP, FN, FP, TN, P    , R    , F1   , ER   , RI
55, 46, 51, 2899, 0.519, 0.545, 0.531, 0.936, 14.674
820, 148, 214, 4243, 0.793, 0.847, 0.819, 0.775, 3.444
88, 39, 24, 3938, 0.786, 0.693, 0.736, 0.960, 24.298
30, 43, 26, 2485, 0.536, 0.411, 0.465, 0.947, 17.963
251, 125, 45, 2070, 0.848, 0.668, 0.747, 0.822, 4.618
73, 121, 44, 4405, 0.624, 0.376, 0.469, 0.933, 13.933
63, 37, 31, 2362, 0.670, 0.630, 0.649, 0.940, 15.708
201, 80, 69, 3797, 0.744, 0.715, 0.730, 0.909, 9.987
308, 74, 69, 3200, 0.817, 0.806, 0.812, 0.872, 6.808
122, 78, 75, 4197, 0.619, 0.610, 0.615, 0.928, 12.847
54, 30, 24, 1540, 0.692, 0.643, 0.667, 0.926, 12.582
213, 107, 158, 2845, 0.574, 0.666, 0.616, 0.832, 4.962
183, 65, 115, 4071, 0.614, 0.738, 0.670, 0.909, 9.979
718, 327, 698, 27596, 0.507, 0.687, 0.584, 0.930, 13.236
84, 51, 40, 1043, 0.677, 0.622, 0.649, 0.836, 5.112
439, 178, 244, 14171, 0.643, 0.712, 0.675, 0.936, 14.659
61, 36, 126, 7488, 0.326, 0.629, 0.430, 0.961, 24.931
57, 34, 71, 3476, 0.445, 0.626, 0.521, 0.944, 16.803
209, 77, 213, 11718, 0.495, 0.731, 0.590, 0.953, 20.156
35, 27, 33, 2595, 0.515, 0.565, 0.538, 0.955, 21.332
