TP, FN, FP, TN, P    , R    , F1   , ER   , RI
56, 45, 54, 2896, 0.509, 0.554, 0.531, 0.935, 14.379
809, 159, 214, 4243, 0.791, 0.836, 0.813, 0.774, 3.432
95, 32, 24, 3938, 0.798, 0.748, 0.772, 0.961, 24.703
28, 45, 33, 2478, 0.459, 0.384, 0.418, 0.938, 15.248
258, 118, 47, 2068, 0.846, 0.686, 0.758, 0.822, 4.604
75, 119, 53, 4396, 0.586, 0.387, 0.466, 0.929, 13.023
70, 30, 38, 2355, 0.648, 0.700, 0.673, 0.938, 15.158
196, 85, 65, 3801, 0.751, 0.698, 0.723, 0.910, 10.083
302, 80, 77, 3192, 0.797, 0.791, 0.794, 0.869, 6.616
116, 84, 74, 4198, 0.611, 0.580, 0.595, 0.927, 12.651
56, 28, 25, 1539, 0.691, 0.667, 0.679, 0.926, 12.564
216, 104, 176, 2827, 0.551, 0.675, 0.607, 0.825, 4.722
189, 59, 124, 4062, 0.604, 0.762, 0.674, 0.907, 9.796
722, 323, 709, 27585, 0.505, 0.691, 0.583, 0.929, 13.165
86, 49, 42, 1041, 0.672, 0.637, 0.654, 0.835, 5.062
441, 176, 245, 14170, 0.643, 0.715, 0.677, 0.936, 14.662
62, 35, 126, 7488, 0.330, 0.639, 0.435, 0.962, 25.216
53, 38, 78, 3469, 0.405, 0.582, 0.477, 0.938, 15.174
206, 80, 230, 11701, 0.472, 0.720, 0.571, 0.950, 19.183
30, 32, 42, 2586, 0.417, 0.484, 0.448, 0.945, 17.078
