TP, FN, FP, TN, P    , R    , F1   , ER   , RI
58, 43, 78, 2872, 0.426, 0.574, 0.489, 0.922, 11.883
872, 96, 298, 4159, 0.745, 0.901, 0.816, 0.761, 3.177
107, 20, 51, 3911, 0.677, 0.843, 0.751, 0.954, 20.804
30, 43, 61, 2450, 0.330, 0.411, 0.366, 0.914, 10.669
277, 99, 91, 2024, 0.753, 0.737, 0.745, 0.799, 3.987
101, 93, 80, 4369, 0.558, 0.521, 0.539, 0.925, 12.355
75, 25, 51, 2342, 0.595, 0.750, 0.664, 0.933, 13.839
210, 71, 118, 3748, 0.640, 0.747, 0.690, 0.894, 8.449
320, 62, 105, 3164, 0.753, 0.838, 0.793, 0.861, 6.196
137, 63, 127, 4145, 0.519, 0.685, 0.591, 0.914, 10.603
57, 27, 38, 1526, 0.600, 0.679, 0.637, 0.915, 10.771
245, 75, 264, 2739, 0.481, 0.766, 0.591, 0.800, 3.998
202, 46, 190, 3996, 0.515, 0.815, 0.631, 0.891, 8.213
800, 245, 1139, 27155, 0.413, 0.766, 0.536, 0.914, 10.584
95, 40, 58, 1025, 0.621, 0.704, 0.660, 0.821, 4.602
481, 136, 418, 13997, 0.535, 0.780, 0.635, 0.923, 12.035
63, 34, 243, 7371, 0.206, 0.649, 0.313, 0.939, 15.367
64, 27, 156, 3391, 0.291, 0.703, 0.412, 0.914, 10.630
225, 61, 422, 11509, 0.348, 0.787, 0.482, 0.933, 13.855
36, 26, 74, 2554, 0.327, 0.581, 0.419, 0.930, 13.199
