TP, FN, FP, TN, P    , R    , F1   , ER   , RI
57, 44, 69, 2881, 0.452, 0.564, 0.502, 0.927, 12.665
842, 126, 260, 4197, 0.764, 0.870, 0.814, 0.766, 3.282
102, 25, 32, 3930, 0.761, 0.803, 0.782, 0.959, 23.508
30, 43, 55, 2456, 0.353, 0.411, 0.380, 0.920, 11.493
268, 108, 63, 2052, 0.810, 0.713, 0.758, 0.814, 4.364
83, 111, 52, 4397, 0.615, 0.428, 0.505, 0.932, 13.714
66, 34, 39, 2354, 0.629, 0.660, 0.644, 0.936, 14.670
204, 77, 82, 3784, 0.713, 0.726, 0.720, 0.905, 9.527
317, 65, 96, 3173, 0.768, 0.830, 0.797, 0.864, 6.336
123, 77, 99, 4173, 0.554, 0.615, 0.583, 0.919, 11.389
53, 31, 30, 1534, 0.639, 0.631, 0.635, 0.920, 11.528
228, 92, 213, 2790, 0.517, 0.713, 0.599, 0.814, 4.369
193, 55, 156, 4030, 0.553, 0.778, 0.647, 0.899, 8.887
758, 287, 778, 27516, 0.493, 0.725, 0.587, 0.928, 12.855
98, 37, 49, 1034, 0.667, 0.726, 0.695, 0.834, 5.015
470, 147, 325, 14090, 0.591, 0.762, 0.666, 0.931, 13.403
63, 34, 183, 7431, 0.256, 0.649, 0.367, 0.951, 19.358
58, 33, 113, 3434, 0.339, 0.637, 0.443, 0.926, 12.560
220, 66, 304, 11627, 0.420, 0.769, 0.543, 0.944, 16.935
39, 23, 62, 2566, 0.386, 0.629, 0.479, 0.940, 15.753
