Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 86, 15, 732, 2218, 0.105, 0.851, 0.187, 0.685, 2.176
ArgoUML, 71, 30, 946, 2004, 0.070, 0.703, 0.127, 0.526, 1.109
Columba, 74, 27, 862, 2088, 0.079, 0.733, 0.143, 0.581, 1.388
EMF, 58, 43, 505, 2445, 0.103, 0.574, 0.175, 0.679, 2.112
Hibernate, 63, 38, 524, 2426, 0.107, 0.624, 0.183, 0.692, 2.242
JEdit, 83, 18, 1343, 1607, 0.058, 0.822, 0.109, 0.431, 0.758
JFreeChart, 62, 39, 770, 2180, 0.075, 0.614, 0.133, 0.556, 1.251
JMeter, 69, 32, 598, 2352, 0.103, 0.683, 0.180, 0.680, 2.125
JRuby, 72, 29, 821, 2129, 0.081, 0.713, 0.145, 0.589, 1.436
SQuirrel, 72, 29, 821, 2129, 0.081, 0.713, 0.145, 0.589, 1.436
Dubbo, 61, 40, 945, 2005, 0.061, 0.604, 0.110, 0.454, 0.832
Gradle, 57, 44, 572, 2378, 0.091, 0.564, 0.156, 0.635, 1.737
Groovy, 71, 30, 728, 2222, 0.089, 0.703, 0.158, 0.627, 1.684
Hive, 79, 22, 695, 2255, 0.102, 0.782, 0.181, 0.676, 2.083
Maven, 67, 34, 913, 2037, 0.068, 0.663, 0.124, 0.516, 1.065
Poi, 71, 30, 842, 2108, 0.078, 0.703, 0.140, 0.574, 1.349
SpringFramework, 76, 25, 862, 2088, 0.081, 0.752, 0.146, 0.591, 1.448
Storm, 59, 42, 590, 2360, 0.091, 0.584, 0.157, 0.636, 1.746
Tomcat, 69, 32, 831, 2119, 0.077, 0.683, 0.138, 0.568, 1.316
Zookeeper, 74, 27, 676, 2274, 0.099, 0.733, 0.174, 0.664, 1.981
