Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 151, 43, 578, 3871, 0.207, 0.778, 0.327, 0.798, 3.957
ArgoUML, 154, 40, 754, 3695, 0.170, 0.794, 0.279, 0.754, 3.059
Columba, 152, 42, 678, 3771, 0.183, 0.784, 0.297, 0.772, 3.383
EMF, 144, 50, 419, 4030, 0.256, 0.742, 0.380, 0.837, 5.121
Hibernate, 142, 52, 439, 4010, 0.244, 0.732, 0.366, 0.829, 4.849
JEdit, 176, 18, 894, 3555, 0.164, 0.907, 0.278, 0.746, 2.937
JFreeChart, 129, 65, 2112, 2337, 0.058, 0.665, 0.106, 0.274, 0.378
JMeter, 132, 62, 2052, 2397, 0.060, 0.680, 0.111, 0.309, 0.446
JRuby, 139, 55, 557, 3892, 0.200, 0.716, 0.312, 0.791, 3.780
SQuirrel, 117, 77, 555, 3894, 0.174, 0.603, 0.270, 0.760, 3.167
Dubbo, 133, 61, 718, 3731, 0.156, 0.686, 0.255, 0.733, 2.740
Gradle, 126, 68, 559, 3890, 0.184, 0.649, 0.287, 0.773, 3.402
Groovy, 135, 59, 531, 3918, 0.203, 0.696, 0.314, 0.794, 3.851
Hive, 136, 58, 551, 3898, 0.198, 0.701, 0.309, 0.789, 3.738
Maven, 129, 65, 695, 3754, 0.157, 0.665, 0.253, 0.733, 2.747
Poi, 143, 51, 933, 3516, 0.133, 0.737, 0.225, 0.686, 2.181
SpringFramework, 141, 53, 658, 3791, 0.176, 0.727, 0.284, 0.763, 3.223
Storm, 124, 70, 479, 3970, 0.206, 0.639, 0.311, 0.797, 3.922
Tomcat, 122, 72, 644, 3805, 0.159, 0.629, 0.254, 0.738, 2.812
Zookeeper, 135, 59, 463, 3986, 0.226, 0.696, 0.341, 0.815, 4.403
