Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 113, 14, 605, 3357, 0.157, 0.890, 0.267, 0.803, 4.067
ArgoUML, 114, 13, 819, 3143, 0.122, 0.898, 0.215, 0.746, 2.934
Columba, 125, 2, 659, 3303, 0.159, 0.984, 0.274, 0.805, 4.133
EMF, 99, 28, 384, 3578, 0.205, 0.780, 0.325, 0.848, 5.599
Hibernate, 110, 17, 403, 3559, 0.214, 0.866, 0.344, 0.855, 5.904
JEdit, 114, 13, 895, 3067, 0.113, 0.898, 0.201, 0.725, 2.638
JFreeChart, 103, 24, 551, 3411, 0.157, 0.811, 0.264, 0.803, 4.071
JMeter, 98, 29, 420, 3542, 0.189, 0.772, 0.304, 0.836, 5.091
JRuby, 118, 9, 931, 3031, 0.112, 0.929, 0.201, 0.724, 2.622
SQuirrel, 101, 26, 481, 3481, 0.174, 0.795, 0.285, 0.821, 4.587
Dubbo, 110, 17, 1175, 2787, 0.086, 0.866, 0.156, 0.637, 1.756
Gradle, 98, 29, 568, 3394, 0.147, 0.772, 0.247, 0.789, 3.738
Groovy, 109, 18, 631, 3331, 0.147, 0.858, 0.251, 0.789, 3.743
Hive, 112, 15, 725, 3237, 0.134, 0.882, 0.232, 0.768, 3.308
Maven, 114, 13, 933, 3029, 0.109, 0.898, 0.194, 0.715, 2.506
Poi, 117, 10, 691, 3271, 0.145, 0.921, 0.250, 0.786, 3.662
SpringFramework, 109, 18, 694, 3268, 0.136, 0.858, 0.234, 0.771, 3.370
Storm, 103, 24, 516, 3446, 0.166, 0.811, 0.276, 0.813, 4.357
Tomcat, 115, 12, 649, 3313, 0.151, 0.906, 0.258, 0.794, 3.846
Zookeeper, 106, 21, 523, 3439, 0.169, 0.835, 0.280, 0.816, 4.426
