Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 76, 24, 380, 2013, 0.167, 0.760, 0.273, 0.759, 3.155
ArgoUML, 71, 29, 602, 1791, 0.105, 0.710, 0.184, 0.620, 1.630
Columba, 89, 11, 542, 1851, 0.141, 0.890, 0.244, 0.716, 2.516
EMF, 72, 28, 250, 2143, 0.224, 0.720, 0.341, 0.821, 4.574
Hibernate, 82, 18, 288, 2105, 0.222, 0.820, 0.349, 0.819, 4.525
JEdit, 80, 20, 722, 1671, 0.100, 0.800, 0.177, 0.598, 1.487
JFreeChart, 86, 14, 282, 2111, 0.234, 0.860, 0.368, 0.828, 4.826
JMeter, 79, 21, 379, 2014, 0.172, 0.790, 0.283, 0.767, 3.300
JRuby, 86, 14, 575, 1818, 0.130, 0.860, 0.226, 0.692, 2.244
SQuirrel, 68, 32, 385, 2008, 0.150, 0.680, 0.246, 0.733, 2.742
Dubbo, 76, 24, 547, 1846, 0.122, 0.760, 0.210, 0.671, 2.041
Gradle, 66, 34, 282, 2111, 0.190, 0.660, 0.295, 0.788, 3.728
Groovy, 82, 18, 405, 1988, 0.168, 0.820, 0.279, 0.762, 3.198
Hive, 84, 16, 347, 2046, 0.195, 0.840, 0.316, 0.794, 3.859
Maven, 82, 18, 521, 1872, 0.136, 0.820, 0.233, 0.705, 2.390
Poi, 80, 20, 450, 1943, 0.151, 0.800, 0.254, 0.734, 2.763
SpringFramework, 70, 30, 469, 1924, 0.130, 0.700, 0.219, 0.691, 2.238
Storm, 87, 13, 372, 2021, 0.190, 0.870, 0.311, 0.788, 3.725
Tomcat, 84, 16, 526, 1867, 0.138, 0.840, 0.237, 0.709, 2.433
Zookeeper, 83, 17, 392, 2001, 0.175, 0.830, 0.289, 0.770, 3.356
