Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 335, 41, 619, 1496, 0.351, 0.891, 0.504, 0.570, 1.326
ArgoUML, 314, 62, 893, 1222, 0.260, 0.835, 0.397, 0.420, 0.723
Columba, 329, 47, 707, 1408, 0.318, 0.875, 0.466, 0.525, 1.104
EMF, 316, 60, 440, 1675, 0.418, 0.840, 0.558, 0.639, 1.769
Hibernate, 335, 41, 369, 1746, 0.476, 0.891, 0.620, 0.683, 2.153
JEdit, 346, 30, 991, 1124, 0.259, 0.920, 0.404, 0.417, 0.714
JFreeChart, 309, 67, 526, 1589, 0.370, 0.822, 0.510, 0.592, 1.452
JMeter, 319, 57, 540, 1575, 0.371, 0.848, 0.517, 0.594, 1.460
JRuby, 325, 51, 581, 1534, 0.359, 0.864, 0.507, 0.579, 1.377
SQuirrel, 324, 52, 588, 1527, 0.355, 0.862, 0.503, 0.575, 1.354
Dubbo, 323, 53, 750, 1365, 0.301, 0.859, 0.446, 0.499, 0.994
Gradle, 301, 75, 639, 1476, 0.320, 0.801, 0.457, 0.529, 1.121
Groovy, 321, 55, 612, 1503, 0.344, 0.854, 0.490, 0.561, 1.279
Hive, 312, 64, 481, 1634, 0.393, 0.830, 0.534, 0.616, 1.607
Maven, 318, 58, 733, 1382, 0.303, 0.846, 0.446, 0.501, 1.005
Poi, 309, 67, 734, 1381, 0.296, 0.822, 0.436, 0.491, 0.963
SpringFramework, 326, 50, 766, 1349, 0.299, 0.867, 0.444, 0.494, 0.978
Storm, 332, 44, 602, 1513, 0.355, 0.883, 0.507, 0.575, 1.355
Tomcat, 319, 57, 789, 1326, 0.288, 0.848, 0.430, 0.476, 0.907
Zookeeper, 307, 69, 478, 1637, 0.391, 0.816, 0.529, 0.614, 1.591
