Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 24.9, 77.1, 24.2, 2925.8, 0.536, 0.245, 0.326, 0.935, 15.024
ArgoUML, 704.6, 264.4, 146.4, 4310.6, 0.829, 0.727, 0.768, 0.785, 3.643
Columba, 75.4, 52.6, 15.4, 3946.6, 0.835, 0.589, 0.680, 0.962, 25.696
EMF, 20.6, 53.4, 19.5, 2491.5, 0.598, 0.279, 0.366, 0.945, 19.899
Hibernate, 219.3, 157.7, 26.9, 2088.1, 0.891, 0.582, 0.700, 0.830, 4.892
JEdit, 30.5, 164.5, 16.8, 4432.2, 0.660, 0.156, 0.246, 0.935, 14.721
JFreeChart, 45.6, 55.4, 13.4, 2379.6, 0.788, 0.451, 0.559, 0.948, 18.468
JMeter, 163.8, 118.2, 33.6, 3832.4, 0.831, 0.581, 0.678, 0.917, 11.219
JRuby, 200.3, 182.7, 38.3, 3230.7, 0.836, 0.523, 0.635, 0.874, 6.976
SQuirrel, 100.4, 100.6, 39.3, 4232.7, 0.725, 0.500, 0.587, 0.937, 15.140
Dubbo, 37.7, 47.3, 17.4, 1546.6, 0.687, 0.443, 0.529, 0.924, 12.325
Gradle, 201.9, 119.1, 124.1, 2878.9, 0.627, 0.629, 0.621, 0.844, 5.490
Groovy, 160.1, 88.9, 83.4, 4102.6, 0.664, 0.643, 0.647, 0.913, 10.822
Hive, 628.5, 417.5, 386.3, 27907.7, 0.635, 0.601, 0.610, 0.942, 16.822
Maven, 79.8, 56.2, 34.4, 1048.6, 0.706, 0.587, 0.636, 0.841, 5.329
Poi, 354.4, 263.6, 139.5, 14275.5, 0.720, 0.573, 0.632, 0.941, 16.515
SpringFramework, 50.4, 47.6, 61.7, 7552.3, 0.488, 0.515, 0.491, 0.969, 37.376
Storm, 46.0, 46.0, 38.9, 3508.1, 0.576, 0.500, 0.525, 0.952, 21.778
Tomcat, 125.8, 161.2, 123.2, 11807.8, 0.527, 0.438, 0.470, 0.953, 21.429
Zookeeper, 24.5, 38.5, 27.7, 2600.3, 0.501, 0.389, 0.432, 0.949, 20.395
