Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 40, 88, 14, 3948, 0.741, 0.313, 0.440, 0.958, 22.669
ArgoUML, 78, 50, 17, 3945, 0.821, 0.609, 0.700, 0.962, 25.235
EMF, 74, 54, 13, 3949, 0.851, 0.578, 0.688, 0.963, 26.179
Hibernate, 98, 30, 46, 3916, 0.681, 0.766, 0.721, 0.954, 20.746
JEdit, 44, 84, 36, 3926, 0.550, 0.344, 0.423, 0.943, 16.574
JFreeChart, 89, 39, 25, 3937, 0.781, 0.695, 0.736, 0.960, 23.946
JMeter, 83, 45, 14, 3948, 0.856, 0.648, 0.738, 0.963, 26.341
JRuby, 107, 21, 10, 3952, 0.915, 0.836, 0.873, 0.966, 28.222
SQuirrel, 85, 43, 12, 3950, 0.876, 0.664, 0.756, 0.964, 27.000
Dubbo, 49, 79, 5, 3957, 0.907, 0.383, 0.538, 0.966, 27.995
Gradle, 57, 71, 5, 3957, 0.919, 0.445, 0.600, 0.966, 28.376
Groovy, 80, 48, 16, 3946, 0.833, 0.625, 0.714, 0.962, 25.628
Hive, 85, 43, 12, 3950, 0.876, 0.664, 0.756, 0.964, 27.000
Maven, 79, 49, 22, 3940, 0.782, 0.617, 0.690, 0.960, 23.993
Poi, 100, 28, 17, 3945, 0.855, 0.781, 0.816, 0.963, 26.310
SpringFramework, 80, 48, 6, 3956, 0.930, 0.625, 0.748, 0.966, 28.724
Storm, 78, 50, 8, 3954, 0.907, 0.609, 0.729, 0.965, 27.981
Tomcat, 74, 54, 10, 3952, 0.881, 0.578, 0.698, 0.964, 27.149
Zookeeper, 52, 76, 5, 3957, 0.912, 0.406, 0.562, 0.966, 28.150
