Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 21, 80, 7, 2386, 0.750, 0.208, 0.326, 0.946, 17.520
ArgoUML, 39, 62, 13, 2380, 0.750, 0.386, 0.510, 0.946, 17.520
Columba, 64, 37, 26, 2367, 0.711, 0.634, 0.670, 0.943, 16.560
EMF, 42, 59, 6, 2387, 0.875, 0.416, 0.564, 0.954, 20.606
Hibernate, 54, 47, 24, 2369, 0.692, 0.535, 0.603, 0.942, 16.095
JEdit, 27, 74, 17, 2376, 0.614, 0.267, 0.372, 0.934, 14.153
JMeter, 49, 52, 7, 2386, 0.875, 0.485, 0.624, 0.954, 20.606
JRuby, 77, 24, 27, 2366, 0.740, 0.762, 0.751, 0.945, 17.282
SQuirrel, 47, 54, 9, 2384, 0.839, 0.465, 0.599, 0.952, 19.725
Dubbo, 43, 58, 9, 2384, 0.827, 0.426, 0.562, 0.951, 19.419
Gradle, 32, 69, 10, 2383, 0.762, 0.317, 0.448, 0.947, 17.814
Groovy, 34, 67, 3, 2390, 0.919, 0.337, 0.493, 0.956, 21.691
Hive, 59, 42, 9, 2384, 0.868, 0.584, 0.698, 0.953, 20.425
Maven, 42, 59, 14, 2379, 0.750, 0.416, 0.535, 0.946, 17.520
Poi, 63, 38, 26, 2367, 0.708, 0.624, 0.663, 0.943, 16.479
SpringFramework, 42, 59, 3, 2390, 0.933, 0.416, 0.575, 0.957, 22.047
Storm, 39, 62, 5, 2388, 0.886, 0.386, 0.538, 0.954, 20.887
Tomcat, 57, 44, 34, 2359, 0.626, 0.564, 0.594, 0.935, 14.467
Zookeeper, 35, 66, 6, 2387, 0.854, 0.347, 0.493, 0.953, 20.079
