Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 163, 85, 284, 3902, 0.365, 0.657, 0.469, 0.847, 5.520
ArgoUML, 165, 83, 568, 3618, 0.225, 0.665, 0.336, 0.752, 3.025
Columba, 180, 68, 663, 3523, 0.214, 0.726, 0.330, 0.738, 2.818
EMF, 202, 46, 342, 3844, 0.371, 0.815, 0.510, 0.849, 5.639
Hibernate, 200, 48, 318, 3868, 0.386, 0.806, 0.522, 0.855, 5.903
JEdit, 203, 45, 375, 3811, 0.351, 0.819, 0.492, 0.841, 5.279
JFreeChart, 176, 72, 326, 3860, 0.351, 0.710, 0.469, 0.840, 5.268
JMeter, 188, 60, 297, 3889, 0.388, 0.758, 0.513, 0.856, 5.930
JRuby, 188, 60, 313, 3873, 0.375, 0.758, 0.502, 0.851, 5.709
SQuirrel, 204, 44, 380, 3806, 0.349, 0.823, 0.490, 0.840, 5.245
Dubbo, 126, 122, 306, 3880, 0.292, 0.508, 0.371, 0.808, 4.215
Gradle, 46, 202, 148, 4038, 0.237, 0.185, 0.208, 0.764, 3.239
Groovy, 199, 49, 104, 4082, 0.657, 0.802, 0.722, 0.915, 10.742
Hive, 176, 72, 276, 3910, 0.389, 0.710, 0.503, 0.856, 5.962
Maven, 77, 171, 388, 3798, 0.166, 0.310, 0.216, 0.662, 1.961
Poi, 163, 85, 309, 3877, 0.345, 0.657, 0.453, 0.838, 5.174
SpringFramework, 171, 77, 209, 3977, 0.450, 0.690, 0.545, 0.876, 7.046
Storm, 204, 44, 427, 3759, 0.323, 0.823, 0.464, 0.827, 4.780
Tomcat, 169, 79, 259, 3927, 0.395, 0.681, 0.500, 0.858, 6.060
Zookeeper, 160, 88, 414, 3772, 0.279, 0.645, 0.389, 0.799, 3.984
