Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 230, 146, 129, 1986, 0.641, 0.612, 0.626, 0.764, 3.244
ArgoUML, 247, 129, 357, 1758, 0.409, 0.657, 0.504, 0.631, 1.709
Columba, 263, 113, 248, 1867, 0.515, 0.699, 0.593, 0.707, 2.410
EMF, 278, 98, 161, 1954, 0.633, 0.739, 0.682, 0.762, 3.195
Hibernate, 310, 66, 71, 2044, 0.814, 0.824, 0.819, 0.814, 4.390
JEdit, 283, 93, 215, 1900, 0.568, 0.753, 0.648, 0.734, 2.765
JFreeChart, 270, 106, 179, 1936, 0.601, 0.718, 0.655, 0.749, 2.984
JMeter, 266, 110, 129, 1986, 0.673, 0.707, 0.690, 0.776, 3.461
JRuby, 265, 111, 197, 1918, 0.574, 0.705, 0.632, 0.737, 2.800
SQuirrel, 290, 86, 174, 1941, 0.625, 0.771, 0.690, 0.758, 3.141
Dubbo, 159, 217, 137, 1978, 0.537, 0.423, 0.473, 0.719, 2.559
Gradle, 94, 282, 62, 2053, 0.603, 0.250, 0.353, 0.749, 2.992
Groovy, 179, 197, 83, 2032, 0.683, 0.476, 0.561, 0.779, 3.526
Hive, 265, 111, 161, 1954, 0.622, 0.705, 0.661, 0.757, 3.121
Maven, 79, 297, 149, 1966, 0.346, 0.210, 0.262, 0.564, 1.296
Poi, 239, 137, 181, 1934, 0.569, 0.636, 0.601, 0.735, 2.770
SpringFramework, 228, 148, 96, 2019, 0.704, 0.606, 0.651, 0.786, 3.662
Storm, 288, 88, 225, 1890, 0.561, 0.766, 0.648, 0.731, 2.719
Tomcat, 250, 126, 147, 1968, 0.630, 0.665, 0.647, 0.760, 3.172
Zookeeper, 213, 163, 163, 1952, 0.566, 0.566, 0.566, 0.734, 2.753
