TP, FN, FP, TN, P    , R    , F1   , ER   , RI
58, 43, 59, 2891, 0.496, 0.574, 0.532, 0.933, 13.975
830, 138, 225, 4232, 0.787, 0.857, 0.821, 0.773, 3.409
99, 28, 28, 3934, 0.780, 0.780, 0.780, 0.960, 24.098
27, 46, 42, 2469, 0.391, 0.370, 0.380, 0.928, 12.851
265, 111, 57, 2058, 0.823, 0.705, 0.759, 0.817, 4.452
81, 113, 62, 4387, 0.566, 0.418, 0.481, 0.926, 12.556
67, 33, 34, 2359, 0.663, 0.670, 0.667, 0.940, 15.538
206, 75, 78, 3788, 0.725, 0.733, 0.729, 0.907, 9.705
307, 75, 77, 3192, 0.799, 0.804, 0.802, 0.869, 6.641
121, 79, 77, 4195, 0.611, 0.605, 0.608, 0.927, 12.664
58, 26, 28, 1536, 0.674, 0.690, 0.682, 0.924, 12.231
227, 93, 186, 2817, 0.550, 0.709, 0.619, 0.825, 4.708
191, 57, 142, 4044, 0.574, 0.770, 0.657, 0.902, 9.255
745, 300, 823, 27471, 0.475, 0.713, 0.570, 0.925, 12.339
90, 45, 46, 1037, 0.662, 0.667, 0.664, 0.833, 4.971
448, 169, 280, 14135, 0.615, 0.726, 0.666, 0.933, 13.993
67, 30, 153, 7461, 0.305, 0.691, 0.423, 0.959, 23.210
55, 36, 88, 3459, 0.385, 0.604, 0.470, 0.935, 14.376
204, 82, 245, 11686, 0.454, 0.713, 0.555, 0.948, 18.408
35, 27, 48, 2580, 0.422, 0.565, 0.483, 0.945, 17.296
