Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 487, 482, 105, 4352, 0.823, 0.503, 0.624, 0.783, 3.606
Columba, 850, 119, 166, 4291, 0.837, 0.877, 0.856, 0.787, 3.685
EMF, 787, 182, 170, 4287, 0.822, 0.812, 0.817, 0.783, 3.605
Hibernate, 828, 141, 213, 4244, 0.795, 0.854, 0.824, 0.775, 3.454
JEdit, 516, 453, 128, 4329, 0.801, 0.533, 0.640, 0.777, 3.487
JFreeChart, 828, 141, 216, 4241, 0.793, 0.854, 0.823, 0.775, 3.441
JMeter, 797, 172, 167, 4290, 0.827, 0.822, 0.825, 0.784, 3.630
JRuby, 852, 117, 178, 4279, 0.827, 0.879, 0.852, 0.784, 3.632
SQuirrel, 871, 98, 199, 4258, 0.814, 0.899, 0.854, 0.781, 3.558
Dubbo, 522, 447, 92, 4365, 0.850, 0.539, 0.660, 0.790, 3.761
Gradle, 665, 304, 125, 4332, 0.842, 0.686, 0.756, 0.788, 3.714
Groovy, 632, 337, 115, 4342, 0.846, 0.652, 0.737, 0.789, 3.738
Hive, 788, 181, 162, 4295, 0.829, 0.813, 0.821, 0.785, 3.645
Maven, 736, 233, 163, 4294, 0.819, 0.760, 0.788, 0.782, 3.584
Poi, 802, 167, 154, 4303, 0.839, 0.828, 0.833, 0.787, 3.698
SpringFramework, 808, 161, 181, 4276, 0.817, 0.834, 0.825, 0.781, 3.575
Storm, 725, 244, 136, 4321, 0.842, 0.748, 0.792, 0.788, 3.715
Tomcat, 777, 192, 160, 4297, 0.829, 0.802, 0.815, 0.785, 3.643
Zookeeper, 668, 301, 150, 4307, 0.817, 0.689, 0.748, 0.781, 3.573
