Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 105, 177, 38, 3828, 0.734, 0.372, 0.494, 0.907, 9.800
ArgoUML, 183, 99, 64, 3802, 0.741, 0.649, 0.692, 0.908, 9.898
Columba, 188, 94, 20, 3846, 0.904, 0.667, 0.767, 0.925, 12.295
EMF, 176, 106, 31, 3835, 0.850, 0.624, 0.720, 0.920, 11.506
Hibernate, 197, 85, 33, 3833, 0.857, 0.699, 0.770, 0.921, 11.599
JEdit, 104, 178, 65, 3801, 0.615, 0.369, 0.461, 0.890, 8.052
JFreeChart, 194, 88, 98, 3768, 0.664, 0.688, 0.676, 0.898, 8.773
JRuby, 204, 78, 23, 3843, 0.899, 0.723, 0.802, 0.924, 12.219
SQuirrel, 198, 84, 31, 3835, 0.865, 0.702, 0.775, 0.921, 11.718
Dubbo, 123, 159, 20, 3846, 0.860, 0.436, 0.579, 0.921, 11.652
Gradle, 146, 136, 25, 3841, 0.854, 0.518, 0.645, 0.920, 11.559
Groovy, 178, 104, 23, 3843, 0.886, 0.631, 0.737, 0.923, 12.026
Hive, 201, 81, 26, 3840, 0.885, 0.713, 0.790, 0.923, 12.024
Maven, 152, 130, 59, 3807, 0.720, 0.539, 0.617, 0.906, 9.596
Poi, 195, 87, 24, 3842, 0.890, 0.691, 0.778, 0.924, 12.097
SpringFramework, 193, 89, 17, 3849, 0.919, 0.684, 0.785, 0.926, 12.518
Storm, 177, 105, 30, 3836, 0.855, 0.628, 0.724, 0.920, 11.577
Tomcat, 182, 100, 26, 3840, 0.875, 0.645, 0.743, 0.922, 11.871
Zookeeper, 152, 130, 29, 3837, 0.840, 0.539, 0.657, 0.919, 11.352
