Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 25.6, 76.4, 24.8, 2925.2, 0.534, 0.251, 0.333, 0.935, 14.970
ArgoUML, 733.6, 235.4, 156.8, 4300.2, 0.825, 0.757, 0.784, 0.783, 3.618
Columba, 79.1, 48.9, 16.4, 3945.6, 0.832, 0.618, 0.699, 0.962, 25.573
EMF, 22.2, 51.8, 20.6, 2490.4, 0.586, 0.299, 0.384, 0.944, 19.483
Hibernate, 227.6, 149.4, 27.9, 2087.1, 0.891, 0.604, 0.716, 0.830, 4.889
JEdit, 31.5, 163.5, 18.1, 4430.9, 0.641, 0.162, 0.253, 0.934, 14.264
JFreeChart, 47.8, 53.2, 14.9, 2378.1, 0.777, 0.473, 0.572, 0.947, 18.177
JMeter, 170.9, 111.1, 35.9, 3830.1, 0.827, 0.606, 0.695, 0.917, 11.165
JRuby, 209.2, 173.8, 40.6, 3228.4, 0.834, 0.546, 0.651, 0.873, 6.948
SQuirrel, 104.1, 96.9, 41.0, 4231.0, 0.723, 0.518, 0.599, 0.936, 15.087
Dubbo, 39.0, 46.0, 19.1, 1544.9, 0.669, 0.459, 0.535, 0.922, 11.969
Gradle, 210.2, 110.8, 132.4, 2870.6, 0.619, 0.655, 0.631, 0.843, 5.414
Groovy, 165.1, 83.9, 89.8, 4096.2, 0.650, 0.663, 0.652, 0.912, 10.582
Hive, 649.8, 396.2, 405.6, 27888.4, 0.630, 0.621, 0.620, 0.941, 16.664
Maven, 82.4, 53.6, 35.1, 1047.9, 0.709, 0.606, 0.648, 0.841, 5.356
Poi, 371.5, 246.5, 151.2, 14263.8, 0.713, 0.601, 0.646, 0.941, 16.342
SpringFramework, 51.9, 46.1, 64.2, 7549.8, 0.479, 0.530, 0.493, 0.969, 36.695
Storm, 47.2, 44.8, 42.4, 3504.6, 0.555, 0.513, 0.523, 0.951, 20.958
Tomcat, 132.2, 154.8, 132.1, 11798.9, 0.518, 0.461, 0.481, 0.952, 21.070
Zookeeper, 25.8, 37.2, 30.1, 2597.9, 0.491, 0.410, 0.442, 0.948, 19.966
