Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 129, 192, 78, 2925, 0.623, 0.402, 0.489, 0.845, 5.453
ArgoUML, 210, 111, 192, 2811, 0.522, 0.654, 0.581, 0.815, 4.409
Columba, 235, 86, 133, 2870, 0.639, 0.732, 0.682, 0.849, 5.613
EMF, 233, 88, 136, 2867, 0.631, 0.726, 0.675, 0.847, 5.539
Hibernate, 250, 71, 175, 2828, 0.588, 0.779, 0.670, 0.836, 5.091
JEdit, 177, 144, 198, 2805, 0.472, 0.551, 0.509, 0.795, 3.888
JFreeChart, 247, 74, 200, 2803, 0.553, 0.769, 0.643, 0.825, 4.722
JMeter, 230, 91, 122, 2881, 0.653, 0.717, 0.684, 0.852, 5.766
JRuby, 231, 90, 130, 2873, 0.640, 0.720, 0.677, 0.849, 5.626
SQuirrel, 231, 90, 135, 2868, 0.631, 0.720, 0.672, 0.847, 5.536
Dubbo, 151, 170, 63, 2940, 0.706, 0.470, 0.564, 0.863, 6.307
Groovy, 191, 130, 83, 2920, 0.697, 0.595, 0.642, 0.861, 6.218
Hive, 221, 100, 122, 2881, 0.644, 0.688, 0.666, 0.850, 5.672
Maven, 203, 118, 150, 2853, 0.575, 0.632, 0.602, 0.832, 4.955
Poi, 230, 91, 128, 2875, 0.642, 0.717, 0.677, 0.850, 5.653
SpringFramework, 231, 90, 127, 2876, 0.645, 0.720, 0.680, 0.850, 5.682
Storm, 204, 117, 114, 2889, 0.642, 0.636, 0.638, 0.849, 5.643
Tomcat, 215, 106, 135, 2868, 0.614, 0.670, 0.641, 0.843, 5.361
Zookeeper, 175, 146, 94, 2909, 0.651, 0.545, 0.593, 0.852, 5.737
