Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 264, 118, 427, 2842, 0.382, 0.691, 0.492, 0.726, 2.652
ArgoUML, 239, 143, 566, 2703, 0.297, 0.626, 0.403, 0.648, 1.838
Columba, 349, 33, 577, 2692, 0.377, 0.914, 0.534, 0.722, 2.602
EMF, 246, 136, 424, 2845, 0.367, 0.644, 0.468, 0.715, 2.509
Hibernate, 340, 42, 305, 2964, 0.527, 0.890, 0.662, 0.802, 4.038
JEdit, 285, 97, 597, 2672, 0.323, 0.746, 0.451, 0.676, 2.088
JFreeChart, 327, 55, 556, 2713, 0.370, 0.856, 0.517, 0.717, 2.539
JMeter, 333, 49, 458, 2811, 0.421, 0.872, 0.568, 0.751, 3.024
JRuby, 359, 23, 364, 2905, 0.497, 0.940, 0.650, 0.789, 3.746
SQuirrel, 244, 138, 453, 2816, 0.350, 0.639, 0.452, 0.701, 2.346
Dubbo, 279, 103, 386, 2883, 0.420, 0.730, 0.533, 0.751, 3.010
Gradle, 166, 216, 339, 2930, 0.329, 0.435, 0.374, 0.682, 2.142
Groovy, 333, 49, 387, 2882, 0.462, 0.872, 0.604, 0.774, 3.420
Hive, 347, 35, 416, 2853, 0.455, 0.908, 0.606, 0.770, 3.347
Maven, 303, 79, 455, 2814, 0.400, 0.793, 0.532, 0.738, 2.821
Poi, 334, 48, 441, 2828, 0.431, 0.874, 0.577, 0.757, 3.119
SpringFramework, 315, 67, 1145, 2124, 0.216, 0.825, 0.342, 0.515, 1.062
Storm, 331, 51, 397, 2872, 0.455, 0.866, 0.596, 0.770, 3.346
Tomcat, 334, 48, 448, 2821, 0.427, 0.874, 0.574, 0.755, 3.082
Zookeeper, 347, 35, 543, 2726, 0.390, 0.908, 0.546, 0.732, 2.726
