Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 493, 124, 2007, 12408, 0.197, 0.799, 0.316, 0.792, 3.804
ArgoUML, 439, 178, 2461, 11954, 0.151, 0.712, 0.250, 0.729, 2.688
Columba, 551, 66, 2489, 11926, 0.181, 0.893, 0.301, 0.774, 3.416
EMF, 477, 140, 2347, 12068, 0.169, 0.773, 0.277, 0.757, 3.115
Hibernate, 529, 88, 1702, 12713, 0.237, 0.857, 0.371, 0.827, 4.777
JEdit, 508, 109, 3741, 10674, 0.120, 0.823, 0.209, 0.657, 1.913
JFreeChart, 543, 74, 2967, 11448, 0.155, 0.880, 0.263, 0.735, 2.769
JMeter, 505, 112, 2855, 11560, 0.150, 0.818, 0.254, 0.727, 2.662
JRuby, 507, 110, 2324, 12091, 0.179, 0.822, 0.294, 0.771, 3.363
SQuirrel, 495, 122, 2472, 11943, 0.167, 0.802, 0.276, 0.754, 3.065
Dubbo, 435, 182, 1842, 12573, 0.191, 0.705, 0.301, 0.785, 3.654
Gradle, 406, 211, 1691, 12724, 0.194, 0.658, 0.299, 0.788, 3.717
Groovy, 542, 75, 2210, 12205, 0.197, 0.878, 0.322, 0.792, 3.798
Hive, 512, 105, 1633, 12782, 0.239, 0.830, 0.371, 0.828, 4.815
Maven, 454, 163, 1900, 12515, 0.193, 0.736, 0.306, 0.787, 3.699
Poi, 571, 46, 1775, 12640, 0.243, 0.925, 0.385, 0.831, 4.930
SpringFramework, 517, 100, 2943, 11472, 0.149, 0.838, 0.254, 0.725, 2.640
Storm, 531, 86, 2468, 11947, 0.177, 0.861, 0.294, 0.768, 3.314
Tomcat, 543, 74, 2337, 12078, 0.189, 0.880, 0.311, 0.782, 3.593
Zookeeper, 553, 64, 2469, 11946, 0.183, 0.896, 0.304, 0.776, 3.458
