Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 873, 172, 4994, 23300, 0.149, 0.835, 0.253, 0.761, 3.178
ArgoUML, 765, 280, 6322, 21972, 0.108, 0.732, 0.188, 0.670, 2.031
Columba, 852, 193, 6442, 21852, 0.117, 0.815, 0.204, 0.695, 2.279
EMF, 855, 190, 5477, 22817, 0.135, 0.818, 0.232, 0.736, 2.791
Hibernate, 791, 254, 3673, 24621, 0.177, 0.757, 0.287, 0.799, 3.975
JEdit, 871, 174, 7646, 20648, 0.102, 0.833, 0.182, 0.652, 1.871
JFreeChart, 866, 179, 5967, 22327, 0.127, 0.829, 0.220, 0.719, 2.558
JMeter, 848, 197, 5095, 23199, 0.143, 0.811, 0.243, 0.750, 3.006
JRuby, 822, 223, 4860, 23434, 0.145, 0.787, 0.244, 0.754, 3.062
SQuirrel, 784, 261, 4892, 23402, 0.138, 0.750, 0.233, 0.742, 2.878
Dubbo, 605, 440, 4937, 23357, 0.109, 0.579, 0.184, 0.674, 2.065
Gradle, 699, 346, 4083, 24211, 0.146, 0.669, 0.240, 0.756, 3.104
Groovy, 818, 227, 4415, 23879, 0.156, 0.783, 0.261, 0.772, 3.389
Hive, 894, 151, 3304, 24990, 0.213, 0.856, 0.341, 0.833, 4.979
Maven, 638, 407, 4707, 23587, 0.119, 0.611, 0.200, 0.702, 2.351
Poi, 835, 210, 5107, 23187, 0.141, 0.799, 0.239, 0.747, 2.945
SpringFramework, 829, 216, 7103, 21191, 0.105, 0.793, 0.185, 0.659, 1.934
Storm, 817, 228, 4738, 23556, 0.147, 0.782, 0.248, 0.758, 3.129
Tomcat, 863, 182, 5557, 22737, 0.134, 0.826, 0.231, 0.735, 2.774
Zookeeper, 850, 195, 5198, 23096, 0.141, 0.813, 0.240, 0.747, 2.946
