Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 219, 67, 1935, 9996, 0.102, 0.766, 0.180, 0.770, 3.343
ArgoUML, 202, 84, 2778, 9153, 0.068, 0.706, 0.124, 0.655, 1.896
Columba, 225, 61, 2505, 9426, 0.082, 0.787, 0.149, 0.716, 2.521
EMF, 192, 94, 1877, 10054, 0.093, 0.671, 0.163, 0.748, 2.964
Hibernate, 202, 84, 1390, 10541, 0.127, 0.706, 0.215, 0.816, 4.420
JEdit, 215, 71, 2987, 8944, 0.067, 0.752, 0.123, 0.651, 1.868
JFreeChart, 220, 66, 2480, 9451, 0.081, 0.769, 0.147, 0.713, 2.481
JMeter, 222, 64, 1880, 10051, 0.106, 0.776, 0.186, 0.778, 3.511
JRuby, 233, 53, 1818, 10113, 0.114, 0.815, 0.199, 0.794, 3.853
SQuirrel, 181, 105, 2000, 9931, 0.083, 0.633, 0.147, 0.718, 2.545
Dubbo, 185, 101, 1751, 10180, 0.096, 0.647, 0.167, 0.755, 3.082
Gradle, 165, 121, 1621, 10310, 0.092, 0.577, 0.159, 0.747, 2.946
Groovy, 203, 83, 1768, 10163, 0.103, 0.710, 0.180, 0.773, 3.400
Hive, 231, 55, 1704, 10227, 0.119, 0.808, 0.208, 0.804, 4.100
Maven, 186, 100, 1856, 10075, 0.091, 0.650, 0.160, 0.743, 2.891
Poi, 232, 54, 1905, 10026, 0.109, 0.811, 0.191, 0.784, 3.637
SpringFramework, 211, 75, 2561, 9370, 0.076, 0.738, 0.138, 0.692, 2.252
Storm, 218, 68, 1916, 10015, 0.102, 0.762, 0.180, 0.771, 3.364
Tomcat, 251, 35, 1664, 10267, 0.131, 0.878, 0.228, 0.821, 4.599
Zookeeper, 248, 38, 2231, 9700, 0.100, 0.867, 0.179, 0.766, 3.273
