Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 262, 58, 705, 2298, 0.271, 0.819, 0.407, 0.645, 1.814
ArgoUML, 234, 86, 786, 2217, 0.229, 0.731, 0.349, 0.580, 1.382
Columba, 262, 58, 923, 2080, 0.221, 0.819, 0.348, 0.564, 1.296
EMF, 260, 60, 715, 2288, 0.267, 0.812, 0.402, 0.639, 1.769
Hibernate, 223, 97, 583, 2420, 0.277, 0.697, 0.396, 0.652, 1.873
JEdit, 270, 50, 1090, 1913, 0.199, 0.844, 0.321, 0.515, 1.062
JFreeChart, 245, 75, 831, 2172, 0.228, 0.766, 0.351, 0.577, 1.364
JMeter, 255, 65, 688, 2315, 0.270, 0.797, 0.404, 0.644, 1.808
JRuby, 266, 54, 700, 2303, 0.275, 0.831, 0.414, 0.650, 1.859
SQuirrel, 250, 70, 811, 2192, 0.236, 0.781, 0.362, 0.591, 1.447
Dubbo, 178, 142, 705, 2298, 0.202, 0.556, 0.296, 0.522, 1.093
Gradle, 286, 34, 535, 2468, 0.348, 0.894, 0.501, 0.724, 2.617
Groovy, 249, 71, 716, 2287, 0.258, 0.778, 0.388, 0.627, 1.679
Hive, 236, 84, 654, 2349, 0.265, 0.737, 0.390, 0.637, 1.754
Maven, 201, 119, 672, 2331, 0.230, 0.628, 0.337, 0.582, 1.391
Poi, 233, 87, 731, 2272, 0.242, 0.728, 0.363, 0.602, 1.510
SpringFramework, 244, 76, 834, 2169, 0.226, 0.762, 0.349, 0.575, 1.350
Storm, 241, 79, 726, 2277, 0.249, 0.753, 0.375, 0.614, 1.588
Tomcat, 255, 65, 685, 2318, 0.271, 0.797, 0.405, 0.645, 1.817
Zookeeper, 261, 59, 799, 2204, 0.246, 0.816, 0.378, 0.609, 1.557
