Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 42, 31, 454, 2057, 0.085, 0.575, 0.148, 0.666, 1.997
ArgoUML, 54, 19, 460, 2051, 0.105, 0.740, 0.184, 0.731, 2.719
Columba, 46, 27, 581, 1930, 0.073, 0.630, 0.131, 0.615, 1.597
EMF, 66, 7, 340, 2171, 0.163, 0.904, 0.276, 0.826, 4.754
Hibernate, 43, 30, 470, 2041, 0.084, 0.589, 0.147, 0.663, 1.967
JEdit, 53, 20, 619, 1892, 0.079, 0.726, 0.142, 0.642, 1.792
JFreeChart, 47, 26, 510, 2001, 0.084, 0.644, 0.149, 0.665, 1.987
JMeter, 56, 17, 398, 2113, 0.123, 0.767, 0.213, 0.771, 3.366
JRuby, 47, 26, 343, 2168, 0.121, 0.644, 0.203, 0.766, 3.266
SQuirrel, 40, 33, 448, 2063, 0.082, 0.548, 0.143, 0.655, 1.901
Dubbo, 37, 36, 351, 2160, 0.095, 0.507, 0.161, 0.704, 2.376
Gradle, 39, 34, 286, 2225, 0.120, 0.534, 0.196, 0.765, 3.248
Groovy, 39, 34, 307, 2204, 0.113, 0.534, 0.186, 0.749, 2.990
Hive, 48, 25, 367, 2144, 0.116, 0.658, 0.197, 0.756, 3.094
Maven, 36, 37, 392, 2119, 0.084, 0.493, 0.144, 0.664, 1.977
Poi, 42, 31, 395, 2116, 0.096, 0.575, 0.165, 0.706, 2.402
SpringFramework, 47, 26, 577, 1934, 0.075, 0.644, 0.135, 0.625, 1.666
Storm, 40, 33, 407, 2104, 0.089, 0.548, 0.154, 0.684, 2.168
Tomcat, 47, 26, 418, 2093, 0.101, 0.644, 0.175, 0.720, 2.578
Zookeeper, 43, 30, 494, 2017, 0.080, 0.589, 0.141, 0.647, 1.834
