Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 101, 26, 203, 3759, 0.332, 0.795, 0.469, 0.907, 9.697
ArgoUML, 107, 20, 333, 3629, 0.243, 0.843, 0.377, 0.872, 6.830
Columba, 118, 9, 249, 3713, 0.322, 0.929, 0.478, 0.903, 9.352
EMF, 94, 33, 201, 3761, 0.319, 0.740, 0.445, 0.903, 9.259
Hibernate, 98, 29, 133, 3829, 0.424, 0.772, 0.547, 0.927, 12.659
JEdit, 111, 16, 351, 3611, 0.240, 0.874, 0.377, 0.871, 6.736
JFreeChart, 99, 28, 255, 3707, 0.280, 0.780, 0.412, 0.889, 8.004
JMeter, 96, 31, 183, 3779, 0.344, 0.756, 0.473, 0.910, 10.078
JRuby, 106, 21, 284, 3678, 0.272, 0.835, 0.410, 0.886, 7.751
SQuirrel, 102, 25, 432, 3530, 0.191, 0.803, 0.309, 0.837, 5.150
Dubbo, 100, 27, 607, 3355, 0.141, 0.787, 0.240, 0.780, 3.554
Gradle, 83, 44, 156, 3806, 0.347, 0.654, 0.454, 0.911, 10.181
Groovy, 102, 25, 376, 3586, 0.213, 0.803, 0.337, 0.854, 5.870
Hive, 114, 13, 451, 3511, 0.202, 0.898, 0.329, 0.846, 5.496
Maven, 107, 20, 442, 3520, 0.195, 0.843, 0.317, 0.841, 5.275
Poi, 114, 13, 355, 3607, 0.243, 0.898, 0.383, 0.872, 6.826
SpringFramework, 97, 30, 165, 3797, 0.370, 0.764, 0.499, 0.916, 10.920
Storm, 100, 27, 189, 3773, 0.346, 0.787, 0.481, 0.910, 10.141
Tomcat, 105, 22, 184, 3778, 0.363, 0.827, 0.505, 0.915, 10.698
Zookeeper, 101, 26, 173, 3789, 0.369, 0.795, 0.504, 0.916, 10.868
