Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 255, 127, 308, 2961, 0.453, 0.668, 0.540, 0.769, 3.329
ArgoUML, 286, 96, 383, 2886, 0.428, 0.749, 0.544, 0.755, 3.086
Columba, 317, 65, 472, 2797, 0.402, 0.830, 0.541, 0.740, 2.840
EMF, 212, 170, 224, 3045, 0.486, 0.555, 0.518, 0.785, 3.647
Hibernate, 329, 53, 215, 3054, 0.605, 0.861, 0.711, 0.827, 4.780
JEdit, 281, 101, 470, 2799, 0.374, 0.736, 0.496, 0.720, 2.576
JFreeChart, 313, 69, 414, 2855, 0.431, 0.819, 0.564, 0.757, 3.115
JMeter, 326, 56, 304, 2965, 0.517, 0.853, 0.644, 0.798, 3.946
JRuby, 357, 25, 207, 3062, 0.633, 0.935, 0.755, 0.835, 5.050
SQuirrel, 236, 146, 389, 2880, 0.378, 0.618, 0.469, 0.723, 2.609
Dubbo, 310, 72, 428, 2841, 0.420, 0.812, 0.554, 0.751, 3.015
Gradle, 191, 191, 217, 3052, 0.468, 0.500, 0.484, 0.776, 3.474
Groovy, 315, 67, 253, 3016, 0.555, 0.825, 0.663, 0.811, 4.300
Hive, 346, 36, 336, 2933, 0.507, 0.906, 0.650, 0.794, 3.849
Maven, 296, 86, 369, 2900, 0.445, 0.775, 0.565, 0.765, 3.254
Poi, 337, 45, 528, 2741, 0.390, 0.882, 0.540, 0.731, 2.724
SpringFramework, 301, 81, 218, 3051, 0.580, 0.788, 0.668, 0.820, 4.543
Storm, 320, 62, 353, 2916, 0.475, 0.838, 0.607, 0.780, 3.544
Tomcat, 318, 64, 246, 3023, 0.564, 0.832, 0.672, 0.814, 4.389
Zookeeper, 328, 54, 415, 2854, 0.441, 0.859, 0.583, 0.763, 3.219
