Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 228, 58, 1704, 10227, 0.118, 0.797, 0.206, 0.802, 4.041
ArgoUML, 205, 81, 1843, 10088, 0.100, 0.717, 0.176, 0.766, 3.276
Columba, 221, 65, 1881, 10050, 0.105, 0.773, 0.185, 0.777, 3.491
EMF, 165, 121, 999, 10932, 0.142, 0.577, 0.228, 0.835, 5.055
Hibernate, 200, 86, 1091, 10840, 0.155, 0.699, 0.254, 0.849, 5.618
JEdit, 223, 63, 2179, 9752, 0.093, 0.780, 0.166, 0.748, 2.966
JFreeChart, 207, 79, 1662, 10269, 0.111, 0.724, 0.192, 0.789, 3.731
JMeter, 186, 100, 1103, 10828, 0.144, 0.650, 0.236, 0.838, 5.164
JRuby, 231, 55, 1378, 10553, 0.144, 0.808, 0.244, 0.837, 5.133
SQuirrel, 184, 102, 1653, 10278, 0.100, 0.643, 0.173, 0.766, 3.279
Dubbo, 186, 100, 1668, 10263, 0.100, 0.650, 0.174, 0.767, 3.286
Gradle, 148, 138, 830, 11101, 0.151, 0.517, 0.234, 0.845, 5.464
Groovy, 194, 92, 1137, 10794, 0.146, 0.678, 0.240, 0.839, 5.226
Hive, 215, 71, 1534, 10397, 0.123, 0.752, 0.211, 0.810, 4.251
Maven, 181, 105, 1586, 10345, 0.102, 0.633, 0.176, 0.771, 3.376
Poi, 229, 57, 1739, 10192, 0.116, 0.801, 0.203, 0.799, 3.971
SpringFramework, 193, 93, 981, 10950, 0.164, 0.675, 0.264, 0.858, 6.022
Storm, 200, 86, 1294, 10637, 0.134, 0.699, 0.225, 0.825, 4.718
Tomcat, 239, 47, 996, 10935, 0.194, 0.836, 0.314, 0.879, 7.267
Zookeeper, 218, 68, 1085, 10846, 0.167, 0.762, 0.274, 0.860, 6.147
