Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 65, 26, 465, 3082, 0.123, 0.714, 0.209, 0.796, 3.903
ArgoUML, 56, 35, 458, 3089, 0.109, 0.615, 0.185, 0.770, 3.356
Columba, 61, 30, 521, 3026, 0.105, 0.670, 0.181, 0.761, 3.190
EMF, 56, 35, 330, 3217, 0.145, 0.615, 0.235, 0.828, 4.800
Hibernate, 61, 30, 332, 3215, 0.155, 0.670, 0.252, 0.839, 5.205
JEdit, 77, 14, 723, 2824, 0.096, 0.846, 0.173, 0.740, 2.848
JFreeChart, 63, 28, 420, 3127, 0.130, 0.692, 0.220, 0.808, 4.215
JMeter, 63, 28, 360, 3187, 0.149, 0.692, 0.245, 0.832, 4.954
JRuby, 65, 26, 396, 3151, 0.141, 0.714, 0.236, 0.823, 4.637
SQuirrel, 66, 25, 543, 3004, 0.108, 0.725, 0.189, 0.769, 3.333
Dubbo, 58, 33, 499, 3048, 0.104, 0.637, 0.179, 0.760, 3.163
Gradle, 51, 40, 176, 3371, 0.225, 0.560, 0.321, 0.889, 7.982
Groovy, 59, 32, 410, 3137, 0.126, 0.648, 0.211, 0.801, 4.029
Hive, 68, 23, 386, 3161, 0.150, 0.747, 0.250, 0.833, 4.988
Maven, 58, 33, 421, 3126, 0.121, 0.637, 0.204, 0.793, 3.841
Poi, 61, 30, 411, 3136, 0.129, 0.670, 0.217, 0.806, 4.167
SpringFramework, 54, 37, 267, 3280, 0.168, 0.593, 0.262, 0.851, 5.725
Storm, 75, 16, 271, 3276, 0.217, 0.824, 0.343, 0.885, 7.666
Tomcat, 58, 33, 343, 3204, 0.145, 0.637, 0.236, 0.827, 4.782
Zookeeper, 68, 23, 313, 3234, 0.178, 0.747, 0.288, 0.860, 6.135
