Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 181, 68, 529, 3657, 0.255, 0.727, 0.377, 0.780, 3.541
ArgoUML, 186, 63, 201, 3985, 0.481, 0.747, 0.585, 0.883, 7.560
Columba, 204, 45, 198, 3988, 0.507, 0.819, 0.627, 0.889, 8.039
EMF, 203, 46, 365, 3821, 0.357, 0.815, 0.497, 0.843, 5.366
Hibernate, 213, 36, 203, 3983, 0.512, 0.855, 0.641, 0.890, 8.120
JEdit, 171, 78, 639, 3547, 0.211, 0.687, 0.323, 0.734, 2.760
JFreeChart, 212, 37, 522, 3664, 0.289, 0.851, 0.431, 0.806, 4.144
JMeter, 214, 35, 233, 3953, 0.479, 0.859, 0.615, 0.883, 7.527
JRuby, 213, 36, 184, 4002, 0.537, 0.855, 0.659, 0.895, 8.556
SQuirrel, 207, 42, 284, 3902, 0.422, 0.831, 0.559, 0.867, 6.509
Dubbo, 205, 44, 290, 3896, 0.414, 0.823, 0.551, 0.864, 6.376
Gradle, 191, 58, 179, 4007, 0.516, 0.767, 0.617, 0.891, 8.194
Hive, 214, 35, 247, 3939, 0.464, 0.859, 0.603, 0.879, 7.268
Maven, 197, 52, 352, 3834, 0.359, 0.791, 0.494, 0.844, 5.391
Poi, 209, 40, 246, 3940, 0.459, 0.839, 0.594, 0.878, 7.181
SpringFramework, 201, 48, 199, 3987, 0.503, 0.807, 0.619, 0.888, 7.950
Storm, 211, 38, 346, 3840, 0.379, 0.847, 0.524, 0.852, 5.747
Tomcat, 213, 36, 276, 3910, 0.436, 0.855, 0.577, 0.871, 6.758
Zookeeper, 212, 37, 471, 3715, 0.310, 0.851, 0.455, 0.819, 4.529
