Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 42.8, 59.2, 149.4, 2800.6, 0.249, 0.420, 0.302, 0.853, 6.463
ArgoUML, 890.7, 78.3, 384.4, 4072.6, 0.702, 0.919, 0.795, 0.744, 2.931
Columba, 102.7, 25.3, 102.3, 3859.7, 0.539, 0.802, 0.636, 0.936, 16.237
EMF, 36.5, 37.5, 137.4, 2373.6, 0.248, 0.493, 0.315, 0.869, 7.668
Hibernate, 289.7, 87.3, 146.5, 1968.5, 0.682, 0.768, 0.718, 0.772, 3.505
JEdit, 77.9, 117.1, 119.3, 4329.7, 0.432, 0.400, 0.398, 0.897, 9.280
JFreeChart, 63.3, 37.7, 73.3, 2319.7, 0.497, 0.626, 0.543, 0.911, 11.267
JMeter, 207.2, 74.8, 183.2, 3682.8, 0.562, 0.735, 0.630, 0.870, 7.269
JRuby, 285.2, 97.8, 174.1, 3094.9, 0.637, 0.745, 0.679, 0.830, 5.077
SQuirrel, 141.7, 59.3, 225.6, 4046.4, 0.412, 0.705, 0.512, 0.884, 8.165
Dubbo, 52.9, 32.1, 61.9, 1502.1, 0.476, 0.622, 0.535, 0.884, 8.238
Gradle, 269.4, 51.6, 385.6, 2617.4, 0.424, 0.839, 0.560, 0.765, 3.392
Groovy, 203.0, 46.0, 313.9, 3872.1, 0.415, 0.815, 0.545, 0.856, 6.396
Hive, 824.8, 221.2, 1958.1, 26335.9, 0.326, 0.789, 0.454, 0.879, 8.151
Maven, 105.4, 30.6, 104.5, 978.5, 0.515, 0.775, 0.615, 0.778, 3.613
Poi, 491.9, 126.1, 729.8, 13685.2, 0.437, 0.796, 0.556, 0.895, 9.620
SpringFramework, 69.1, 28.9, 384.2, 7229.8, 0.187, 0.705, 0.288, 0.913, 13.740
Storm, 62.5, 29.5, 246.7, 3300.3, 0.233, 0.679, 0.340, 0.875, 8.232
Tomcat, 192.3, 94.7, 698.3, 11232.7, 0.244, 0.670, 0.350, 0.891, 9.396
Zookeeper, 38.1, 24.9, 175.8, 2452.2, 0.204, 0.604, 0.298, 0.870, 7.732
