Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 88, 40, 185, 3777, 0.322, 0.688, 0.439, 0.903, 9.300
ArgoUML, 99, 29, 39, 3923, 0.717, 0.773, 0.744, 0.956, 21.923
EMF, 101, 27, 183, 3779, 0.356, 0.789, 0.490, 0.912, 10.364
Hibernate, 110, 18, 93, 3869, 0.542, 0.859, 0.665, 0.942, 16.315
JEdit, 77, 51, 282, 3680, 0.214, 0.602, 0.316, 0.854, 5.853
JFreeChart, 116, 12, 224, 3738, 0.341, 0.906, 0.496, 0.908, 9.902
JMeter, 97, 31, 74, 3888, 0.567, 0.758, 0.649, 0.945, 17.125
JRuby, 115, 13, 41, 3921, 0.737, 0.898, 0.810, 0.958, 22.555
SQuirrel, 103, 25, 84, 3878, 0.551, 0.805, 0.654, 0.943, 16.600
Dubbo, 103, 25, 81, 3881, 0.560, 0.805, 0.660, 0.944, 16.887
Gradle, 85, 43, 43, 3919, 0.664, 0.664, 0.664, 0.953, 20.219
Groovy, 101, 27, 68, 3894, 0.598, 0.789, 0.680, 0.948, 18.096
Hive, 110, 18, 65, 3897, 0.629, 0.859, 0.726, 0.950, 19.085
Maven, 105, 23, 81, 3881, 0.565, 0.820, 0.669, 0.945, 17.038
Poi, 116, 12, 62, 3900, 0.652, 0.906, 0.758, 0.952, 19.823
SpringFramework, 106, 22, 84, 3878, 0.558, 0.828, 0.667, 0.944, 16.826
Storm, 107, 21, 107, 3855, 0.500, 0.836, 0.626, 0.937, 14.977
Tomcat, 112, 16, 70, 3892, 0.615, 0.875, 0.723, 0.949, 18.663
Zookeeper, 100, 28, 78, 3884, 0.562, 0.781, 0.654, 0.944, 16.951
