Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 105, 31, 133, 950, 0.441, 0.772, 0.561, 0.747, 2.954
ArgoUML, 92, 44, 73, 1010, 0.558, 0.676, 0.611, 0.800, 3.998
Columba, 106, 30, 80, 1003, 0.570, 0.779, 0.658, 0.804, 4.108
EMF, 108, 28, 119, 964, 0.476, 0.794, 0.595, 0.766, 3.264
Hibernate, 103, 33, 104, 979, 0.498, 0.757, 0.601, 0.776, 3.460
JEdit, 101, 35, 228, 855, 0.307, 0.743, 0.434, 0.637, 1.752
JFreeChart, 119, 17, 150, 933, 0.442, 0.875, 0.588, 0.748, 2.965
JMeter, 100, 36, 77, 1006, 0.565, 0.735, 0.639, 0.803, 4.064
JRuby, 106, 30, 77, 1006, 0.579, 0.779, 0.665, 0.807, 4.192
SQuirrel, 112, 24, 107, 976, 0.511, 0.824, 0.631, 0.782, 3.584
Dubbo, 103, 33, 97, 986, 0.515, 0.757, 0.613, 0.783, 3.616
Gradle, 102, 34, 66, 1017, 0.607, 0.750, 0.671, 0.816, 4.442
Groovy, 103, 33, 79, 1004, 0.566, 0.757, 0.648, 0.803, 4.073
Hive, 105, 31, 92, 991, 0.533, 0.772, 0.631, 0.791, 3.777
Poi, 107, 29, 77, 1006, 0.582, 0.787, 0.669, 0.808, 4.212
SpringFramework, 102, 34, 85, 998, 0.545, 0.750, 0.632, 0.795, 3.889
Storm, 109, 27, 122, 961, 0.472, 0.801, 0.594, 0.764, 3.229
Tomcat, 106, 30, 86, 997, 0.552, 0.779, 0.646, 0.798, 3.948
Zookeeper, 114, 22, 134, 949, 0.460, 0.838, 0.594, 0.757, 3.120
