Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 47, 54, 105, 2288, 0.309, 0.465, 0.372, 0.869, 6.635
ArgoUML, 44, 57, 25, 2368, 0.638, 0.436, 0.518, 0.936, 14.746
Columba, 73, 28, 55, 2338, 0.570, 0.723, 0.638, 0.929, 13.083
EMF, 57, 44, 89, 2304, 0.390, 0.564, 0.462, 0.896, 8.640
Hibernate, 63, 38, 60, 2333, 0.512, 0.624, 0.563, 0.921, 11.648
JEdit, 54, 47, 211, 2182, 0.204, 0.535, 0.295, 0.801, 4.032
JMeter, 57, 44, 43, 2350, 0.570, 0.564, 0.567, 0.929, 13.075
JRuby, 74, 27, 56, 2337, 0.569, 0.733, 0.641, 0.929, 13.056
SQuirrel, 57, 44, 58, 2335, 0.496, 0.564, 0.528, 0.918, 11.239
Dubbo, 73, 28, 90, 2303, 0.448, 0.723, 0.553, 0.910, 10.059
Gradle, 47, 54, 29, 2364, 0.618, 0.465, 0.531, 0.935, 14.271
Groovy, 64, 37, 24, 2369, 0.727, 0.634, 0.677, 0.944, 16.959
Hive, 77, 24, 70, 2323, 0.524, 0.762, 0.621, 0.923, 11.934
Maven, 65, 36, 76, 2317, 0.461, 0.644, 0.537, 0.912, 10.383
Poi, 73, 28, 48, 2345, 0.603, 0.723, 0.658, 0.933, 13.897
SpringFramework, 59, 42, 64, 2329, 0.480, 0.584, 0.527, 0.916, 10.845
Storm, 67, 34, 72, 2321, 0.482, 0.663, 0.558, 0.916, 10.902
Tomcat, 81, 20, 83, 2310, 0.494, 0.802, 0.611, 0.918, 11.196
Zookeeper, 70, 31, 134, 2259, 0.343, 0.693, 0.459, 0.882, 7.473
