Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 459, 586, 1346, 26948, 0.254, 0.439, 0.322, 0.860, 6.139
ArgoUML, 726, 319, 4570, 23724, 0.137, 0.695, 0.229, 0.740, 2.849
Columba, 692, 353, 2696, 25598, 0.204, 0.662, 0.312, 0.826, 4.734
EMF, 811, 234, 2486, 25808, 0.246, 0.776, 0.374, 0.855, 5.906
Hibernate, 750, 295, 2604, 25690, 0.224, 0.718, 0.341, 0.841, 5.278
JEdit, 757, 288, 2709, 25585, 0.218, 0.724, 0.336, 0.837, 5.132
JFreeChart, 662, 383, 2017, 26277, 0.247, 0.633, 0.356, 0.856, 5.938
JMeter, 739, 306, 1836, 26458, 0.287, 0.707, 0.408, 0.876, 7.057
JRuby, 746, 299, 2561, 25733, 0.226, 0.714, 0.343, 0.842, 5.333
SQuirrel, 701, 344, 1700, 26594, 0.292, 0.671, 0.407, 0.878, 7.197
Dubbo, 398, 647, 1770, 26524, 0.184, 0.381, 0.248, 0.806, 4.154
Gradle, 273, 772, 1323, 26971, 0.171, 0.261, 0.207, 0.792, 3.802
Groovy, 483, 562, 1013, 27281, 0.323, 0.462, 0.380, 0.890, 8.065
Hive, 846, 199, 740, 27554, 0.533, 0.810, 0.643, 0.933, 13.976
Maven, 304, 741, 2865, 25429, 0.096, 0.291, 0.144, 0.629, 1.693
Poi, 596, 449, 1275, 27019, 0.319, 0.570, 0.409, 0.888, 7.943
SpringFramework, 666, 379, 2114, 26180, 0.240, 0.637, 0.348, 0.851, 5.726
Storm, 746, 299, 1916, 26378, 0.280, 0.714, 0.402, 0.873, 6.868
Tomcat, 686, 359, 1450, 26844, 0.321, 0.656, 0.431, 0.889, 8.017
Zookeeper, 481, 564, 1457, 26837, 0.248, 0.460, 0.322, 0.856, 5.968
