Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 31.1, 70.9, 47.4, 2902.6, 0.415, 0.305, 0.343, 0.915, 11.426
ArgoUML, 800.4, 168.6, 206.9, 4250.1, 0.794, 0.826, 0.808, 0.775, 3.446
Columba, 87.4, 40.6, 28.1, 3933.9, 0.762, 0.683, 0.716, 0.958, 23.352
EMF, 25.9, 48.1, 38.5, 2472.5, 0.457, 0.351, 0.385, 0.930, 14.962
Hibernate, 248.3, 128.7, 49.8, 2065.2, 0.836, 0.659, 0.735, 0.817, 4.525
JEdit, 42.6, 152.4, 31.7, 4417.3, 0.584, 0.219, 0.313, 0.927, 12.903
JFreeChart, 53.2, 47.8, 24.3, 2368.7, 0.699, 0.527, 0.590, 0.940, 16.262
JMeter, 183.2, 98.8, 60.5, 3805.5, 0.758, 0.649, 0.698, 0.908, 10.150
JRuby, 234.7, 148.3, 64.5, 3204.5, 0.783, 0.613, 0.680, 0.865, 6.467
SQuirrel, 116.7, 84.3, 75.2, 4196.8, 0.623, 0.581, 0.598, 0.925, 12.859
Dubbo, 44.1, 40.9, 26.2, 1537.8, 0.625, 0.519, 0.561, 0.916, 11.121
Gradle, 231.3, 89.7, 185.2, 2817.8, 0.560, 0.720, 0.628, 0.825, 4.799
Groovy, 177.7, 71.3, 130.5, 4055.5, 0.583, 0.714, 0.639, 0.901, 9.378
Hive, 712.9, 333.1, 687.7, 27606.3, 0.531, 0.682, 0.593, 0.928, 13.887
Maven, 90.8, 45.2, 49.9, 1033.1, 0.652, 0.668, 0.657, 0.827, 4.848
Poi, 412.1, 205.9, 240.5, 14174.5, 0.644, 0.667, 0.651, 0.933, 14.656
SpringFramework, 58.4, 39.6, 114.6, 7499.4, 0.374, 0.596, 0.452, 0.960, 28.410
Storm, 52.7, 39.3, 83.7, 3463.3, 0.422, 0.573, 0.477, 0.933, 15.702
Tomcat, 152.1, 134.9, 229.0, 11702.0, 0.419, 0.530, 0.462, 0.940, 16.858
Zookeeper, 29.5, 33.5, 54.6, 2573.4, 0.383, 0.469, 0.414, 0.933, 15.373
