Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 177, 144, 193, 2810, 0.478, 0.551, 0.512, 0.798, 3.954
ArgoUML, 210, 111, 192, 2811, 0.522, 0.654, 0.581, 0.815, 4.409
Columba, 255, 66, 184, 2819, 0.581, 0.794, 0.671, 0.834, 5.015
EMF, 247, 74, 195, 2808, 0.559, 0.769, 0.647, 0.827, 4.787
Hibernate, 250, 71, 175, 2828, 0.588, 0.779, 0.670, 0.836, 5.091
JEdit, 215, 106, 331, 2672, 0.394, 0.670, 0.496, 0.755, 3.078
JFreeChart, 252, 69, 271, 2732, 0.482, 0.785, 0.597, 0.800, 3.989
JMeter, 241, 80, 141, 2862, 0.631, 0.751, 0.686, 0.847, 5.533
JRuby, 235, 86, 139, 2864, 0.628, 0.732, 0.676, 0.846, 5.507
SQuirrel, 245, 76, 181, 2822, 0.575, 0.763, 0.656, 0.832, 4.955
Dubbo, 202, 119, 147, 2856, 0.579, 0.629, 0.603, 0.833, 4.994
Groovy, 223, 98, 135, 2868, 0.623, 0.695, 0.657, 0.845, 5.450
Hive, 249, 72, 194, 2809, 0.562, 0.776, 0.652, 0.828, 4.820
Maven, 227, 94, 161, 2842, 0.585, 0.707, 0.640, 0.835, 5.058
Poi, 252, 69, 170, 2833, 0.597, 0.785, 0.678, 0.838, 5.184
SpringFramework, 216, 105, 165, 2838, 0.567, 0.673, 0.615, 0.830, 4.871
Storm, 240, 81, 201, 2802, 0.544, 0.748, 0.630, 0.823, 4.635
Tomcat, 246, 75, 190, 2813, 0.564, 0.766, 0.650, 0.829, 4.843
Zookeeper, 212, 109, 153, 2850, 0.581, 0.660, 0.618, 0.834, 5.014
