Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 41, 57, 166, 7448, 0.198, 0.418, 0.269, 0.936, 14.587
ArgoUML, 50, 48, 104, 7510, 0.325, 0.510, 0.397, 0.961, 24.550
Columba, 71, 27, 48, 7566, 0.597, 0.724, 0.654, 0.979, 45.952
EMF, 57, 41, 129, 7485, 0.306, 0.582, 0.401, 0.959, 23.116
Hibernate, 64, 34, 84, 7530, 0.432, 0.653, 0.520, 0.971, 33.030
JEdit, 39, 59, 340, 7274, 0.103, 0.398, 0.164, 0.877, 7.098
JFreeChart, 63, 35, 169, 7445, 0.272, 0.643, 0.382, 0.953, 20.369
JMeter, 61, 37, 67, 7547, 0.477, 0.622, 0.540, 0.973, 36.503
JRuby, 68, 30, 50, 7564, 0.576, 0.694, 0.630, 0.978, 44.349
SQuirrel, 69, 29, 108, 7506, 0.390, 0.704, 0.502, 0.967, 29.677
Dubbo, 45, 53, 86, 7528, 0.344, 0.459, 0.393, 0.963, 26.032
Gradle, 46, 52, 80, 7534, 0.365, 0.469, 0.411, 0.965, 27.730
Groovy, 63, 35, 42, 7572, 0.600, 0.643, 0.621, 0.979, 46.216
Hive, 71, 27, 120, 7494, 0.372, 0.724, 0.491, 0.966, 28.253
Maven, 45, 53, 150, 7464, 0.231, 0.459, 0.307, 0.945, 17.160
Poi, 68, 30, 75, 7539, 0.476, 0.694, 0.564, 0.973, 36.421
Storm, 60, 38, 118, 7496, 0.337, 0.612, 0.435, 0.962, 25.526
Tomcat, 67, 31, 104, 7510, 0.392, 0.684, 0.498, 0.968, 29.833
Zookeeper, 62, 36, 138, 7476, 0.310, 0.633, 0.416, 0.959, 23.395
