Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 278, 340, 356, 14059, 0.438, 0.450, 0.444, 0.906, 9.666
ArgoUML, 342, 276, 136, 14279, 0.715, 0.553, 0.624, 0.943, 16.404
Columba, 485, 133, 139, 14276, 0.777, 0.785, 0.781, 0.947, 17.907
EMF, 387, 231, 315, 14100, 0.551, 0.626, 0.586, 0.925, 12.410
Hibernate, 429, 189, 230, 14185, 0.651, 0.694, 0.672, 0.937, 14.835
JEdit, 276, 342, 692, 13723, 0.285, 0.447, 0.348, 0.856, 5.936
JFreeChart, 446, 172, 321, 14094, 0.581, 0.722, 0.644, 0.929, 13.145
JMeter, 426, 192, 141, 14274, 0.751, 0.689, 0.719, 0.945, 17.276
JRuby, 507, 111, 159, 14256, 0.761, 0.820, 0.790, 0.946, 17.518
SQuirrel, 461, 157, 215, 14200, 0.682, 0.746, 0.713, 0.940, 15.589
Dubbo, 388, 230, 190, 14225, 0.671, 0.628, 0.649, 0.939, 15.329
Gradle, 300, 318, 152, 14263, 0.664, 0.485, 0.561, 0.938, 15.145
Groovy, 417, 201, 141, 14274, 0.747, 0.675, 0.709, 0.945, 17.179
Hive, 521, 97, 236, 14179, 0.688, 0.843, 0.758, 0.940, 15.742
Maven, 348, 270, 232, 14183, 0.600, 0.563, 0.581, 0.931, 13.595
SpringFramework, 432, 186, 191, 14224, 0.693, 0.699, 0.696, 0.941, 15.868
Storm, 448, 170, 240, 14175, 0.651, 0.725, 0.686, 0.937, 14.840
Tomcat, 525, 93, 265, 14150, 0.665, 0.850, 0.746, 0.938, 15.166
Zookeeper, 414, 204, 219, 14196, 0.654, 0.670, 0.662, 0.937, 14.909
