Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 28.9, 73.1, 37.3, 2912.7, 0.463, 0.283, 0.341, 0.924, 12.849
ArgoUML, 784.7, 184.3, 187.9, 4269.1, 0.806, 0.810, 0.805, 0.778, 3.515
Columba, 84.3, 43.7, 24.2, 3937.8, 0.783, 0.659, 0.709, 0.959, 24.005
EMF, 25.0, 49.0, 28.8, 2482.2, 0.536, 0.338, 0.401, 0.938, 17.721
Hibernate, 244.3, 132.7, 41.2, 2073.8, 0.857, 0.648, 0.736, 0.822, 4.665
JEdit, 39.9, 155.1, 26.4, 4422.6, 0.612, 0.205, 0.300, 0.930, 13.566
JFreeChart, 51.1, 49.9, 19.8, 2373.2, 0.732, 0.506, 0.585, 0.943, 17.087
JMeter, 181.8, 100.2, 50.8, 3815.2, 0.787, 0.645, 0.706, 0.912, 10.583
JRuby, 225.6, 157.4, 54.9, 3214.1, 0.802, 0.589, 0.671, 0.868, 6.648
SQuirrel, 113.3, 87.7, 58.3, 4213.7, 0.669, 0.564, 0.609, 0.931, 13.887
Dubbo, 42.5, 42.5, 23.6, 1540.4, 0.638, 0.500, 0.554, 0.918, 11.372
Gradle, 226.0, 95.0, 164.9, 2838.1, 0.583, 0.704, 0.635, 0.833, 5.033
Groovy, 175.5, 73.5, 116.3, 4069.7, 0.605, 0.705, 0.649, 0.906, 9.783
Hive, 696.6, 349.4, 568.3, 27725.7, 0.568, 0.666, 0.609, 0.934, 14.939
Maven, 89.1, 46.9, 44.7, 1038.3, 0.670, 0.655, 0.660, 0.832, 5.003
Poi, 400.8, 217.2, 202.1, 14212.9, 0.672, 0.649, 0.655, 0.936, 15.337
SpringFramework, 57.2, 40.8, 95.5, 7518.5, 0.407, 0.583, 0.471, 0.963, 30.990
Storm, 51.4, 40.6, 65.8, 3481.2, 0.478, 0.558, 0.504, 0.942, 17.916
Tomcat, 146.6, 140.4, 187.6, 11743.4, 0.459, 0.511, 0.478, 0.946, 18.522
Zookeeper, 28.3, 34.7, 45.9, 2582.1, 0.407, 0.449, 0.421, 0.938, 16.392
