Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 523, 446, 159, 4298, 0.767, 0.540, 0.634, 0.767, 3.294
Columba, 871, 98, 178, 4279, 0.830, 0.899, 0.863, 0.785, 3.649
EMF, 845, 124, 207, 4250, 0.803, 0.872, 0.836, 0.778, 3.498
Hibernate, 828, 141, 213, 4244, 0.795, 0.854, 0.824, 0.775, 3.454
JEdit, 596, 373, 192, 4265, 0.756, 0.615, 0.678, 0.764, 3.235
JFreeChart, 810, 159, 235, 4222, 0.775, 0.836, 0.804, 0.770, 3.340
JMeter, 836, 133, 179, 4278, 0.824, 0.863, 0.843, 0.783, 3.612
JRuby, 852, 117, 178, 4279, 0.827, 0.879, 0.852, 0.784, 3.632
SQuirrel, 891, 78, 242, 4215, 0.786, 0.920, 0.848, 0.773, 3.404
Dubbo, 714, 255, 155, 4302, 0.822, 0.737, 0.777, 0.783, 3.601
Gradle, 687, 282, 122, 4335, 0.849, 0.709, 0.773, 0.790, 3.755
Groovy, 728, 241, 154, 4303, 0.825, 0.751, 0.787, 0.784, 3.622
Hive, 853, 116, 198, 4259, 0.812, 0.880, 0.845, 0.780, 3.545
Maven, 736, 233, 163, 4294, 0.819, 0.760, 0.788, 0.782, 3.584
Poi, 865, 104, 189, 4268, 0.821, 0.893, 0.855, 0.782, 3.595
SpringFramework, 835, 134, 200, 4257, 0.807, 0.862, 0.833, 0.779, 3.518
Storm, 809, 160, 200, 4257, 0.802, 0.835, 0.818, 0.777, 3.490
Tomcat, 875, 94, 225, 4232, 0.795, 0.903, 0.846, 0.775, 3.454
Zookeeper, 755, 214, 182, 4275, 0.806, 0.779, 0.792, 0.778, 3.512
