Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 22, 63, 20, 1544, 0.524, 0.259, 0.346, 0.902, 9.162
ArgoUML, 35, 50, 25, 1539, 0.583, 0.412, 0.483, 0.912, 10.317
Columba, 55, 30, 21, 1543, 0.724, 0.647, 0.683, 0.929, 13.039
EMF, 40, 45, 28, 1536, 0.588, 0.471, 0.523, 0.912, 10.412
Hibernate, 43, 42, 26, 1538, 0.623, 0.506, 0.558, 0.917, 11.090
JEdit, 22, 63, 21, 1543, 0.512, 0.259, 0.344, 0.899, 8.926
JFreeChart, 48, 37, 45, 1519, 0.516, 0.565, 0.539, 0.900, 9.013
JMeter, 43, 42, 20, 1544, 0.683, 0.506, 0.581, 0.924, 12.241
JRuby, 56, 29, 18, 1546, 0.757, 0.659, 0.704, 0.932, 13.681
SQuirrel, 38, 47, 24, 1540, 0.613, 0.447, 0.517, 0.916, 10.890
Gradle, 27, 58, 13, 1551, 0.675, 0.318, 0.432, 0.924, 12.095
Groovy, 43, 42, 15, 1549, 0.741, 0.506, 0.601, 0.930, 13.383
Hive, 55, 30, 27, 1537, 0.671, 0.647, 0.659, 0.923, 12.012
Maven, 28, 57, 22, 1542, 0.560, 0.329, 0.415, 0.908, 9.864
Poi, 61, 24, 23, 1541, 0.726, 0.718, 0.722, 0.929, 13.088
SpringFramework, 49, 36, 20, 1544, 0.710, 0.576, 0.636, 0.927, 12.777
Storm, 42, 43, 28, 1536, 0.600, 0.494, 0.542, 0.914, 10.640
Tomcat, 57, 28, 27, 1537, 0.679, 0.671, 0.675, 0.924, 12.164
Zookeeper, 43, 42, 25, 1539, 0.632, 0.506, 0.562, 0.918, 11.268
