TP, FN, FP, TN, P    , R    , F1   , ER   , RI
53, 48, 45, 2905, 0.541, 0.525, 0.533, 0.939, 15.337
793, 175, 208, 4249, 0.792, 0.819, 0.805, 0.775, 3.440
98, 29, 22, 3940, 0.817, 0.772, 0.794, 0.962, 25.294
28, 45, 31, 2480, 0.475, 0.384, 0.424, 0.940, 15.799
251, 125, 41, 2074, 0.860, 0.668, 0.751, 0.824, 4.695
72, 122, 42, 4407, 0.632, 0.371, 0.468, 0.934, 14.116
67, 33, 30, 2363, 0.691, 0.670, 0.680, 0.942, 16.220
195, 86, 60, 3806, 0.765, 0.694, 0.728, 0.911, 10.286
294, 88, 62, 3207, 0.826, 0.770, 0.797, 0.873, 6.893
118, 82, 61, 4211, 0.659, 0.590, 0.623, 0.932, 13.740
52, 32, 21, 1543, 0.712, 0.619, 0.662, 0.928, 12.975
215, 105, 164, 2839, 0.567, 0.672, 0.615, 0.830, 4.891
180, 68, 109, 4077, 0.623, 0.726, 0.670, 0.910, 10.136
716, 329, 658, 27636, 0.521, 0.685, 0.592, 0.932, 13.630
85, 50, 34, 1049, 0.714, 0.630, 0.669, 0.845, 5.444
435, 182, 250, 14165, 0.635, 0.705, 0.668, 0.935, 14.471
62, 35, 124, 7490, 0.333, 0.639, 0.438, 0.962, 25.498
55, 36, 74, 3473, 0.426, 0.604, 0.500, 0.941, 16.045
215, 71, 209, 11722, 0.507, 0.752, 0.606, 0.954, 20.661
32, 30, 29, 2599, 0.525, 0.516, 0.520, 0.956, 21.760
