Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 444, 173, 856, 13559, 0.342, 0.720, 0.463, 0.880, 7.321
ArgoUML, 427, 190, 1707, 12708, 0.200, 0.692, 0.310, 0.795, 3.875
Columba, 527, 90, 1233, 13182, 0.299, 0.854, 0.443, 0.863, 6.295
EMF, 463, 154, 1141, 13274, 0.289, 0.750, 0.417, 0.858, 6.032
Hibernate, 474, 143, 1192, 13223, 0.285, 0.768, 0.415, 0.856, 5.932
JEdit, 464, 153, 1487, 12928, 0.238, 0.752, 0.361, 0.827, 4.794
JFreeChart, 479, 138, 1512, 12903, 0.241, 0.776, 0.367, 0.829, 4.861
JMeter, 486, 131, 1087, 13328, 0.309, 0.788, 0.444, 0.867, 6.527
JRuby, 462, 155, 1088, 13327, 0.298, 0.749, 0.426, 0.862, 6.262
SQuirrel, 472, 145, 1823, 12592, 0.206, 0.765, 0.324, 0.800, 4.011
Dubbo, 189, 428, 958, 13457, 0.165, 0.306, 0.214, 0.751, 3.014
Gradle, 123, 494, 436, 13979, 0.220, 0.199, 0.209, 0.813, 4.361
Groovy, 357, 260, 873, 13542, 0.290, 0.579, 0.387, 0.859, 6.071
Hive, 474, 143, 844, 13571, 0.360, 0.768, 0.490, 0.886, 7.762
Maven, 249, 368, 1353, 13062, 0.155, 0.404, 0.224, 0.736, 2.787
Poi, 548, 69, 495, 13920, 0.525, 0.888, 0.660, 0.922, 11.801
SpringFramework, 488, 129, 935, 13480, 0.343, 0.791, 0.478, 0.880, 7.355
Storm, 442, 175, 1152, 13263, 0.277, 0.716, 0.400, 0.852, 5.756
Tomcat, 493, 124, 1044, 13371, 0.321, 0.799, 0.458, 0.872, 6.815
Zookeeper, 463, 154, 852, 13563, 0.352, 0.750, 0.479, 0.883, 7.578
