Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 209, 173, 173, 3096, 0.547, 0.547, 0.547, 0.809, 4.229
ArgoUML, 283, 99, 380, 2889, 0.427, 0.741, 0.542, 0.755, 3.080
Columba, 326, 56, 300, 2969, 0.521, 0.853, 0.647, 0.799, 3.977
EMF, 212, 170, 340, 2929, 0.384, 0.555, 0.454, 0.728, 2.671
Hibernate, 322, 60, 185, 3084, 0.635, 0.843, 0.724, 0.835, 5.070
JEdit, 250, 132, 265, 3004, 0.485, 0.654, 0.557, 0.784, 3.640
JFreeChart, 276, 106, 335, 2934, 0.452, 0.723, 0.556, 0.768, 3.317
JMeter, 309, 73, 186, 3083, 0.624, 0.809, 0.705, 0.832, 4.966
JRuby, 338, 44, 71, 3198, 0.826, 0.885, 0.855, 0.873, 6.898
SQuirrel, 210, 172, 233, 3036, 0.474, 0.550, 0.509, 0.779, 3.531
Dubbo, 195, 187, 180, 3089, 0.520, 0.510, 0.515, 0.799, 3.970
Gradle, 71, 311, 101, 3168, 0.413, 0.186, 0.256, 0.747, 2.945
Groovy, 237, 145, 127, 3142, 0.651, 0.620, 0.635, 0.839, 5.223
Hive, 323, 59, 142, 3127, 0.695, 0.846, 0.763, 0.849, 5.639
Maven, 210, 172, 205, 3064, 0.506, 0.550, 0.527, 0.793, 3.836
Poi, 313, 69, 192, 3077, 0.620, 0.819, 0.706, 0.831, 4.924
SpringFramework, 304, 78, 143, 3126, 0.680, 0.796, 0.733, 0.846, 5.500
Storm, 299, 83, 303, 2966, 0.497, 0.783, 0.608, 0.789, 3.747
Tomcat, 320, 62, 163, 3106, 0.663, 0.838, 0.740, 0.842, 5.332
Zookeeper, 283, 99, 257, 3012, 0.524, 0.741, 0.614, 0.800, 4.009
