Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 226, 55, 205, 3661, 0.524, 0.804, 0.635, 0.871, 6.739
ArgoUML, 190, 91, 453, 3413, 0.295, 0.676, 0.411, 0.771, 3.361
Columba, 219, 62, 322, 3544, 0.405, 0.779, 0.533, 0.833, 4.974
EMF, 218, 63, 370, 3496, 0.371, 0.776, 0.502, 0.817, 4.472
Hibernate, 216, 65, 254, 3612, 0.460, 0.769, 0.575, 0.853, 5.782
JEdit, 225, 56, 285, 3581, 0.441, 0.801, 0.569, 0.846, 5.511
JFreeChart, 221, 60, 336, 3530, 0.397, 0.786, 0.527, 0.829, 4.856
JMeter, 238, 43, 47, 3819, 0.835, 0.847, 0.841, 0.919, 11.324
JRuby, 197, 84, 217, 3649, 0.476, 0.701, 0.567, 0.858, 6.023
SQuirrel, 214, 67, 230, 3636, 0.482, 0.762, 0.590, 0.859, 6.113
Dubbo, 66, 215, 197, 3669, 0.251, 0.235, 0.243, 0.730, 2.704
Gradle, 74, 207, 134, 3732, 0.356, 0.263, 0.303, 0.810, 4.250
Groovy, 114, 167, 221, 3645, 0.340, 0.406, 0.370, 0.801, 4.022
Hive, 200, 81, 200, 3666, 0.500, 0.712, 0.587, 0.864, 6.379
Maven, 80, 201, 206, 3660, 0.280, 0.285, 0.282, 0.758, 3.128
Poi, 208, 73, 230, 3636, 0.475, 0.740, 0.579, 0.857, 6.008
SpringFramework, 190, 91, 208, 3658, 0.477, 0.676, 0.560, 0.858, 6.045
Storm, 149, 132, 331, 3535, 0.310, 0.530, 0.392, 0.782, 3.581
Tomcat, 206, 75, 168, 3698, 0.551, 0.733, 0.629, 0.877, 7.129
Zookeeper, 170, 111, 211, 3655, 0.446, 0.605, 0.514, 0.848, 5.585
