Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 29, 56, 27, 1537, 0.518, 0.341, 0.411, 0.900, 9.046
ArgoUML, 35, 50, 25, 1539, 0.583, 0.412, 0.483, 0.912, 10.317
Columba, 56, 29, 26, 1538, 0.683, 0.659, 0.671, 0.925, 12.249
EMF, 39, 46, 28, 1536, 0.582, 0.459, 0.513, 0.911, 10.293
Hibernate, 43, 42, 26, 1538, 0.623, 0.506, 0.558, 0.917, 11.090
JEdit, 26, 59, 43, 1521, 0.377, 0.306, 0.338, 0.863, 6.310
JFreeChart, 50, 35, 67, 1497, 0.427, 0.588, 0.495, 0.879, 7.291
JMeter, 46, 39, 25, 1539, 0.648, 0.541, 0.590, 0.920, 11.569
JRuby, 62, 23, 25, 1539, 0.713, 0.729, 0.721, 0.928, 12.825
SQuirrel, 38, 47, 27, 1537, 0.585, 0.447, 0.507, 0.912, 10.342
Gradle, 34, 51, 20, 1544, 0.630, 0.400, 0.489, 0.918, 11.215
Groovy, 42, 43, 22, 1542, 0.656, 0.494, 0.564, 0.921, 11.731
Hive, 54, 31, 29, 1535, 0.651, 0.635, 0.643, 0.921, 11.622
Maven, 31, 54, 28, 1536, 0.525, 0.365, 0.431, 0.902, 9.193
Poi, 58, 27, 23, 1541, 0.716, 0.682, 0.699, 0.928, 12.891
SpringFramework, 47, 38, 22, 1542, 0.681, 0.553, 0.610, 0.924, 12.214
Storm, 46, 39, 31, 1533, 0.597, 0.541, 0.568, 0.914, 10.590
Tomcat, 60, 25, 31, 1533, 0.659, 0.706, 0.682, 0.922, 11.791
Zookeeper, 40, 45, 21, 1543, 0.656, 0.471, 0.548, 0.921, 11.721
