Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 31.2, 70.8, 52.9, 2897.1, 0.401, 0.305, 0.336, 0.911, 10.994
ArgoUML, 807.1, 161.9, 220.9, 4236.1, 0.785, 0.833, 0.806, 0.772, 3.395
Columba, 88.1, 39.9, 31.9, 3930.1, 0.744, 0.688, 0.710, 0.957, 22.773
EMF, 26.8, 47.2, 41.7, 2469.3, 0.441, 0.362, 0.385, 0.928, 14.395
Hibernate, 252.9, 124.1, 53.0, 2062.0, 0.830, 0.671, 0.740, 0.816, 4.487
JEdit, 47.3, 147.7, 38.4, 4410.6, 0.572, 0.243, 0.333, 0.925, 12.613
JFreeChart, 52.8, 48.2, 26.2, 2366.8, 0.687, 0.523, 0.583, 0.938, 15.966
JMeter, 185.4, 96.6, 66.9, 3799.1, 0.744, 0.658, 0.695, 0.906, 9.946
JRuby, 234.9, 148.1, 72.6, 3196.4, 0.766, 0.613, 0.674, 0.861, 6.302
SQuirrel, 119.3, 81.7, 81.1, 4190.9, 0.609, 0.594, 0.598, 0.923, 12.549
Dubbo, 44.0, 41.0, 28.7, 1535.3, 0.606, 0.518, 0.554, 0.913, 10.753
Gradle, 235.8, 85.2, 194.9, 2808.1, 0.553, 0.735, 0.629, 0.823, 4.729
Groovy, 180.1, 68.9, 143.1, 4042.9, 0.565, 0.723, 0.632, 0.898, 9.069
Hive, 718.4, 327.6, 736.4, 27557.6, 0.517, 0.687, 0.585, 0.927, 13.500
Maven, 91.5, 44.5, 54.4, 1028.6, 0.635, 0.673, 0.650, 0.822, 4.694
Poi, 415.6, 202.4, 272.5, 14142.5, 0.619, 0.672, 0.640, 0.929, 14.051
SpringFramework, 59.1, 38.9, 133.6, 7480.4, 0.349, 0.603, 0.434, 0.953, 26.429
Storm, 53.6, 38.4, 87.3, 3459.7, 0.413, 0.583, 0.476, 0.932, 15.342
Tomcat, 153.4, 133.6, 254.6, 11676.4, 0.401, 0.535, 0.451, 0.937, 16.092
Zookeeper, 30.1, 32.9, 61.3, 2566.7, 0.360, 0.478, 0.403, 0.928, 14.392
