Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 147, 135, 84, 3782, 0.636, 0.521, 0.573, 0.893, 8.360
ArgoUML, 183, 99, 64, 3802, 0.741, 0.649, 0.692, 0.908, 9.898
Columba, 198, 84, 35, 3831, 0.850, 0.702, 0.769, 0.920, 11.500
EMF, 184, 98, 50, 3816, 0.786, 0.652, 0.713, 0.914, 10.566
Hibernate, 197, 85, 33, 3833, 0.857, 0.699, 0.770, 0.921, 11.599
JEdit, 128, 154, 160, 3706, 0.444, 0.454, 0.449, 0.847, 5.537
JFreeChart, 210, 72, 174, 3692, 0.547, 0.745, 0.631, 0.876, 7.044
JRuby, 207, 75, 29, 3837, 0.877, 0.734, 0.799, 0.922, 11.902
SQuirrel, 210, 72, 70, 3796, 0.750, 0.745, 0.747, 0.909, 10.032
Dubbo, 160, 122, 57, 3809, 0.737, 0.567, 0.641, 0.908, 9.846
Gradle, 160, 122, 42, 3824, 0.792, 0.567, 0.661, 0.914, 10.651
Groovy, 198, 84, 44, 3822, 0.818, 0.702, 0.756, 0.917, 11.035
Hive, 216, 66, 56, 3810, 0.794, 0.766, 0.780, 0.914, 10.681
Maven, 153, 129, 81, 3785, 0.654, 0.543, 0.593, 0.896, 8.618
Poi, 208, 74, 42, 3824, 0.832, 0.738, 0.782, 0.918, 11.238
SpringFramework, 195, 87, 30, 3836, 0.867, 0.691, 0.769, 0.922, 11.748
Storm, 201, 81, 86, 3780, 0.700, 0.713, 0.707, 0.903, 9.302
Tomcat, 211, 71, 64, 3802, 0.767, 0.748, 0.758, 0.911, 10.286
Zookeeper, 157, 125, 71, 3795, 0.689, 0.557, 0.616, 0.901, 9.129
