Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,714,102,33,69,22,590,0.6,0.3235,0.4204,0.3774
Ant,Columba,714,102,36,66,9,603,0.8,0.3529,0.4898,0.4871
Ant,EMF,714,102,22,80,8,604,0.7333,0.2157,0.3333,0.3534
Ant,Hibernate,714,102,28,74,6,606,0.8235,0.2745,0.4118,0.435
Ant,JEdit,714,102,68,34,41,571,0.6239,0.6667,0.6445,0.5834
Ant,JFreeChart,714,102,36,66,32,580,0.5294,0.3529,0.4235,0.3584
Ant,JMeter,714,102,29,73,6,606,0.8286,0.2843,0.4234,0.4449
Ant,JRuby,714,102,34,68,6,606,0.85,0.3333,0.4789,0.4923
Ant,SQuirrel,714,102,34,68,10,602,0.7727,0.3333,0.4658,0.4613
Ant,Dubbo,714,102,19,83,16,596,0.5429,0.1863,0.2774,0.2595
Ant,Gradle,714,102,21,81,6,606,0.7778,0.2059,0.3256,0.3597
Ant,Groovy,714,102,26,76,5,607,0.8387,0.2549,0.391,0.4237
Ant,Hive,714,102,30,72,6,606,0.8333,0.2941,0.4348,0.4547
Ant,Maven,714,102,24,78,10,602,0.7059,0.2353,0.3529,0.3598
Ant,Poi,714,102,33,69,6,606,0.8462,0.3235,0.4681,0.4831
Ant,SpringFramework,714,102,17,85,7,605,0.7083,0.1667,0.2698,0.3014
Ant,Storm,714,102,26,76,9,603,0.7429,0.2549,0.3796,0.3893
Ant,Tomcat,714,102,50,52,8,604,0.8621,0.4902,0.625,0.6111
Ant,Zookeeper,714,102,40,62,10,602,0.8,0.3922,0.5263,0.5153
ArgoUML,Ant,5426,969,577,392,163,4294,0.7797,0.5955,0.6752,0.6237
ArgoUML,Columba,5426,969,900,69,191,4266,0.8249,0.9288,0.8738,0.8466
ArgoUML,EMF,5426,969,897,72,204,4253,0.8147,0.9257,0.8667,0.838
ArgoUML,Hibernate,5426,969,869,100,191,4266,0.8198,0.8968,0.8566,0.8249
ArgoUML,JEdit,5426,969,829,140,447,4010,0.6497,0.8555,0.7385,0.682
ArgoUML,JFreeChart,5426,969,924,45,368,4089,0.7152,0.9536,0.8173,0.7832
ArgoUML,JMeter,5426,969,893,76,208,4249,0.8111,0.9216,0.8628,0.8332
ArgoUML,JRuby,5426,969,882,87,185,4272,0.8266,0.9102,0.8664,0.8371
ArgoUML,SQuirrel,5426,969,899,70,226,4231,0.7991,0.9278,0.8586,0.8286
ArgoUML,Dubbo,5426,969,702,267,117,4340,0.8571,0.7245,0.7852,0.747
ArgoUML,Gradle,5426,969,714,255,132,4325,0.844,0.7368,0.7868,0.7467
ArgoUML,Groovy,5426,969,868,101,193,4264,0.8181,0.8958,0.8552,0.8232
ArgoUML,Hive,5426,969,907,62,283,4174,0.7622,0.936,0.8402,0.8076
ArgoUML,Maven,5426,969,767,202,163,4294,0.8247,0.7915,0.8078,0.7673
ArgoUML,Poi,5426,969,894,75,225,4232,0.7989,0.9226,0.8563,0.8256
ArgoUML,SpringFramework,5426,969,892,77,183,4274,0.8298,0.9205,0.8728,0.8451
ArgoUML,Storm,5426,969,883,86,236,4221,0.7891,0.9112,0.8458,0.8125
ArgoUML,Tomcat,5426,969,882,87,187,4270,0.8251,0.9102,0.8656,0.8361
ArgoUML,Zookeeper,5426,969,747,222,184,4273,0.8024,0.7709,0.7863,0.7412
Columba,Ant,896,128,62,66,11,757,0.8493,0.4844,0.6169,0.6013
Columba,ArgoUML,896,128,104,24,9,759,0.9204,0.8125,0.8631,0.8441
Columba,EMF,896,128,92,36,8,760,0.92,0.7188,0.807,0.7872
Columba,Hibernate,896,128,97,31,6,762,0.9417,0.7578,0.8398,0.8228
Columba,JEdit,896,128,100,28,27,741,0.7874,0.7812,0.7843,0.7485
Columba,JFreeChart,896,128,104,24,15,753,0.8739,0.8125,0.8421,0.8176
Columba,JMeter,896,128,96,32,2,766,0.9796,0.75,0.8496,0.838
Columba,JRuby,896,128,104,24,3,765,0.972,0.8125,0.8851,0.8725
Columba,SQuirrel,896,128,95,33,8,760,0.9223,0.7422,0.8225,0.8028
Columba,Dubbo,896,128,88,40,12,756,0.88,0.6875,0.7719,0.7467
Columba,Gradle,896,128,42,86,3,765,0.9333,0.3281,0.4855,0.5195
Columba,Groovy,896,128,93,35,2,766,0.9789,0.7266,0.8341,0.8229
Columba,Hive,896,128,93,35,6,762,0.9394,0.7266,0.8194,0.8023
Columba,Maven,896,128,74,54,6,762,0.925,0.5781,0.7115,0.6999
Columba,Poi,896,128,112,16,9,759,0.9256,0.875,0.8996,0.8839
Columba,SpringFramework,896,128,94,34,2,766,0.9792,0.7344,0.8393,0.8279
