Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,612,102,18,84,1,509,0.9474,0.1765,0.2975,0.375
Ant,Columba,612,102,59,43,15,495,0.7973,0.5784,0.6705,0.6276
Ant,EMF,612,102,13,89,1,509,0.9286,0.1275,0.2241,0.3128
Ant,Hibernate,612,102,28,74,5,505,0.8485,0.2745,0.4148,0.4368
Ant,JEdit,612,102,68,34,53,457,0.562,0.6667,0.6099,0.5266
Ant,JFreeChart,612,102,40,62,25,485,0.6154,0.3922,0.479,0.4151
Ant,JMeter,612,102,31,71,3,507,0.9118,0.3039,0.4559,0.4849
Ant,JRuby,612,102,42,60,4,506,0.913,0.4118,0.5676,0.5709
Ant,SQuirrel,612,102,35,67,13,497,0.7292,0.3431,0.4667,0.4403
Ant,Dubbo,612,102,19,83,2,508,0.9048,0.1863,0.3089,0.3733
Ant,Gradle,612,102,19,83,3,507,0.8636,0.1863,0.3065,0.3611
Ant,Groovy,612,102,26,76,3,507,0.8966,0.2549,0.3969,0.4368
Ant,Hive,612,102,47,55,9,501,0.8393,0.4608,0.5949,0.5728
Ant,Maven,612,102,31,71,21,489,0.5962,0.3039,0.4026,0.3512
Ant,Poi,612,102,49,53,10,500,0.8305,0.4804,0.6087,0.5818
Ant,SpringFramework,612,102,24,78,6,504,0.8,0.2353,0.3636,0.3858
Ant,Storm,612,102,24,78,2,508,0.9231,0.2353,0.375,0.4275
Ant,Tomcat,612,102,55,47,9,501,0.8594,0.5392,0.6627,0.6352
Ant,Zookeeper,612,102,13,89,3,507,0.8125,0.1275,0.2203,0.2839
ArgoUML,Ant,5426,969,638,331,173,4284,0.7867,0.6584,0.7169,0.6656
ArgoUML,Columba,5426,969,917,52,286,4171,0.7623,0.9463,0.8444,0.8134
ArgoUML,EMF,5426,969,511,458,88,4369,0.8531,0.5273,0.6518,0.6204
ArgoUML,Hibernate,5426,969,858,111,185,4272,0.8226,0.8854,0.8529,0.8203
ArgoUML,JEdit,5426,969,799,170,644,3813,0.5537,0.8246,0.6625,0.5895
