Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,1224,102,25,77,16,1106,0.6098,0.2451,0.3497,0.3546
Ant,Columba,1224,102,32,70,14,1108,0.6957,0.3137,0.4324,0.4378
Ant,EMF,1224,102,18,84,13,1109,0.5806,0.1765,0.2707,0.2901
Ant,Hibernate,1224,102,21,81,6,1116,0.7778,0.2059,0.3256,0.3774
Ant,JEdit,1224,102,31,71,34,1088,0.4769,0.3039,0.3713,0.3372
Ant,JFreeChart,1224,102,18,84,12,1110,0.6,0.1765,0.2727,0.2963
Ant,JMeter,1224,102,24,78,2,1120,0.9231,0.2353,0.375,0.4476
Ant,JRuby,1224,102,26,76,5,1117,0.8387,0.2549,0.391,0.4406
Ant,SQuirrel,1224,102,16,86,5,1117,0.7619,0.1569,0.2602,0.3244
Ant,Dubbo,1224,102,12,90,5,1117,0.7059,0.1176,0.2017,0.2673
Ant,Gradle,1224,102,13,89,5,1117,0.7222,0.1275,0.2167,0.2824
Ant,Groovy,1224,102,24,78,4,1118,0.8571,0.2353,0.3692,0.4284
Ant,Hive,1224,102,20,82,5,1117,0.8,0.1961,0.315,0.3744
Ant,Maven,1224,102,20,82,10,1112,0.6667,0.1961,0.303,0.3345
Ant,Poi,1224,102,28,74,5,1117,0.8485,0.2745,0.4148,0.4608
Ant,SpringFramework,1224,102,11,91,4,1118,0.7333,0.1078,0.188,0.262
Ant,Storm,1224,102,23,79,25,1097,0.4792,0.2255,0.3067,0.2893
Ant,Tomcat,1224,102,40,62,11,1111,0.7843,0.3922,0.5229,0.5288
Ant,Zookeeper,1224,102,41,61,17,1105,0.7069,0.402,0.5125,0.5032
ArgoUML,Ant,5426,969,816,153,172,4285,0.8259,0.8421,0.8339,0.7975
ArgoUML,Columba,5426,969,904,65,218,4239,0.8057,0.9329,0.8647,0.836
ArgoUML,EMF,5426,969,890,79,202,4255,0.815,0.9185,0.8637,0.8341
ArgoUML,Hibernate,5426,969,875,94,191,4266,0.8208,0.903,0.86,0.8291
ArgoUML,JEdit,5426,969,697,272,255,4202,0.7321,0.7193,0.7257,0.6667
ArgoUML,JFreeChart,5426,969,877,92,236,4221,0.788,0.9051,0.8425,0.8082
ArgoUML,JMeter,5426,969,842,127,170,4287,0.832,0.8689,0.8501,0.8169
ArgoUML,JRuby,5426,969,845,124,155,4302,0.845,0.872,0.8583,0.8271
ArgoUML,SQuirrel,5426,969,897,72,207,4250,0.8125,0.9257,0.8654,0.8365
ArgoUML,Dubbo,5426,969,625,344,102,4355,0.8597,0.645,0.737,0.6995
ArgoUML,Gradle,5426,969,641,328,89,4368,0.8781,0.6615,0.7546,0.7201
ArgoUML,Groovy,5426,969,772,197,134,4323,0.8521,0.7967,0.8235,0.7873
ArgoUML,Hive,5426,969,862,107,177,4280,0.8296,0.8896,0.8586,0.8273
ArgoUML,Maven,5426,969,720,249,154,4303,0.8238,0.743,0.7813,0.7382
ArgoUML,Poi,5426,969,892,77,192,4265,0.8229,0.9205,0.869,0.8405
ArgoUML,SpringFramework,5426,969,788,181,147,4310,0.8428,0.8132,0.8277,0.7913
ArgoUML,Storm,5426,969,867,102,163,4294,0.8417,0.8947,0.8674,0.8381
ArgoUML,Tomcat,5426,969,842,127,162,4295,0.8386,0.8689,0.8535,0.8212
ArgoUML,Zookeeper,5426,969,873,96,239,4218,0.7851,0.9009,0.839,0.804
Columba,Ant,1536,128,73,55,13,1395,0.8488,0.5703,0.6822,0.6745
Columba,ArgoUML,1536,128,75,53,3,1405,0.9615,0.5859,0.7282,0.7349
Columba,EMF,1536,128,90,38,7,1401,0.9278,0.7031,0.8,0.7933
Columba,Hibernate,1536,128,99,29,12,1396,0.8919,0.7734,0.8285,0.8165
Columba,JEdit,1536,128,74,54,30,1378,0.7115,0.5781,0.6379,0.6125
Columba,JFreeChart,1536,128,104,24,33,1375,0.7591,0.8125,0.7849,0.7652
Columba,JMeter,1536,128,91,37,5,1403,0.9479,0.7109,0.8125,0.8077
Columba,JRuby,1536,128,94,34,4,1404,0.9592,0.7344,0.8319,0.8273
Columba,SQuirrel,1536,128,87,41,4,1404,0.956,0.6797,0.7945,0.7924
Columba,Dubbo,1536,128,62,66,8,1400,0.8857,0.4844,0.6263,0.6344
Columba,Gradle,1536,128,40,88,2,1406,0.9524,0.3125,0.4706,0.5272
Columba,Groovy,1536,128,83,45,6,1402,0.9326,0.6484,0.765,0.762
Columba,Hive,1536,128,94,34,8,1400,0.9216,0.7344,0.8174,0.8089
Columba,Maven,1536,128,71,57,11,1397,0.8659,0.5547,0.6762,0.6724
Columba,Poi,1536,128,105,23,10,1398,0.913,0.8203,0.8642,0.854
Columba,SpringFramework,1536,128,89,39,4,1404,0.957,0.6953,0.8054,0.8025
Columba,Storm,1536,128,92,36,6,1402,0.9388,0.7188,0.8142,0.808
Columba,Tomcat,1536,128,94,34,3,1405,0.9691,0.7344,0.8356,0.832
Columba,Zookeeper,1536,128,90,38,5,1403,0.9474,0.7031,0.8072,0.8027
EMF,Ant,888,74,26,48,4,810,0.8667,0.3514,0.5,0.53
EMF,ArgoUML,888,74,20,54,2,812,0.9091,0.2703,0.4167,0.4762
EMF,Columba,888,74,26,48,9,805,0.7429,0.3514,0.4771,0.4834
EMF,Hibernate,888,74,29,45,3,811,0.9062,0.3919,0.5472,0.5757
EMF,JEdit,888,74,40,34,26,788,0.6061,0.5405,0.5714,0.5359
EMF,JFreeChart,888,74,28,46,18,796,0.6087,0.3784,0.4667,0.4443
EMF,JMeter,888,74,25,49,0,814,1.0,0.3378,0.5051,0.5645
EMF,JRuby,888,74,21,53,1,813,0.9545,0.2838,0.4375,0.5024
EMF,SQuirrel,888,74,26,48,2,812,0.9286,0.3514,0.5098,0.5518
EMF,Dubbo,888,74,21,53,10,804,0.6774,0.2838,0.4,0.4088
EMF,Gradle,888,74,23,51,5,809,0.8214,0.3108,0.451,0.4819
EMF,Groovy,888,74,15,59,1,813,0.9375,0.2027,0.3333,0.4186
EMF,Hive,888,74,25,49,3,811,0.8929,0.3378,0.4902,0.5285
EMF,Maven,888,74,19,55,5,809,0.7917,0.2568,0.3878,0.4271
EMF,Poi,888,74,26,48,1,813,0.963,0.3514,0.5149,0.5636
