Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,2040,102,18,84,16,1922,0.5294,0.1765,0.2647,0.2864
Ant,Columba,2040,102,35,67,5,1933,0.875,0.3431,0.493,0.5353
Ant,EMF,2040,102,13,89,6,1932,0.6842,0.1275,0.2149,0.2822
Ant,Hibernate,2040,102,26,76,13,1925,0.6667,0.2549,0.3688,0.395
Ant,JEdit,2040,102,35,67,41,1897,0.4605,0.3431,0.3933,0.3705
Ant,JFreeChart,2040,102,19,83,24,1914,0.4419,0.1863,0.2621,0.2638
Ant,JMeter,2040,102,23,79,5,1933,0.8214,0.2255,0.3538,0.4176
Ant,JRuby,2040,102,35,67,14,1924,0.7143,0.3431,0.4636,0.4782
Ant,SQuirrel,2040,102,21,81,13,1925,0.6176,0.2059,0.3088,0.3391
Ant,Dubbo,2040,102,11,91,3,1935,0.7857,0.1078,0.1897,0.2806
Ant,Gradle,2040,102,14,88,8,1930,0.6364,0.1373,0.2258,0.2809
Ant,Groovy,2040,102,17,85,7,1931,0.7083,0.1667,0.2698,0.3296
Ant,Hive,2040,102,25,77,17,1921,0.5952,0.2451,0.3472,0.3627
Ant,Maven,2040,102,17,85,18,1920,0.4857,0.1667,0.2482,0.2641
Ant,Poi,2040,102,19,83,8,1930,0.7037,0.1863,0.2946,0.3474
Ant,SpringFramework,2040,102,12,90,4,1934,0.75,0.1176,0.2034,0.2856
Ant,Storm,2040,102,18,84,6,1932,0.75,0.1765,0.2857,0.3504
Ant,Tomcat,2040,102,32,70,8,1930,0.8,0.3137,0.4507,0.4867
Ant,Zookeeper,2040,102,16,86,7,1931,0.6957,0.1569,0.256,0.3163
ArgoUML,Ant,5426,969,379,590,60,4397,0.8633,0.3911,0.5384,0.5304
ArgoUML,Columba,5426,969,883,86,163,4294,0.8442,0.9112,0.8764,0.8492
ArgoUML,EMF,5426,969,882,87,177,4280,0.8329,0.9102,0.8698,0.8412
ArgoUML,Hibernate,5426,969,877,92,188,4269,0.8235,0.9051,0.8623,0.8321
ArgoUML,JEdit,5426,969,706,263,183,4274,0.7942,0.7286,0.76,0.7114
ArgoUML,JFreeChart,5426,969,869,100,185,4272,0.8245,0.8968,0.8591,0.828
ArgoUML,JMeter,5426,969,861,108,162,4295,0.8416,0.8885,0.8645,0.8345
ArgoUML,JRuby,5426,969,839,130,158,4299,0.8415,0.8658,0.8535,0.8212
ArgoUML,SQuirrel,5426,969,886,83,190,4267,0.8234,0.9143,0.8665,0.8373
ArgoUML,Dubbo,5426,969,682,287,102,4355,0.8699,0.7038,0.7781,0.7418
ArgoUML,Gradle,5426,969,625,344,88,4369,0.8766,0.645,0.7432,0.7088
ArgoUML,Groovy,5426,969,657,312,99,4358,0.869,0.678,0.7617,0.7253
ArgoUML,Hive,5426,969,807,162,129,4328,0.8622,0.8328,0.8472,0.8149
ArgoUML,Maven,5426,969,747,222,170,4287,0.8146,0.7709,0.7922,0.7489
ArgoUML,Poi,5426,969,783,186,129,4328,0.8586,0.808,0.8325,0.798
ArgoUML,SpringFramework,5426,969,886,83,176,4281,0.8343,0.9143,0.8725,0.8445
ArgoUML,Storm,5426,969,864,105,149,4308,0.8529,0.8916,0.8718,0.8435
ArgoUML,Tomcat,5426,969,712,257,113,4344,0.863,0.7348,0.7938,0.7567
