Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,1020,102,25,77,7,911,0.7812,0.2451,0.3731,0.4087
Ant,Columba,1020,102,27,75,6,912,0.8182,0.2647,0.4,0.4377
Ant,EMF,1020,102,19,83,10,908,0.6552,0.1863,0.2901,0.3166
Ant,Hibernate,1020,102,28,74,13,905,0.6829,0.2745,0.3916,0.3976
Ant,JEdit,1020,102,55,47,56,862,0.4955,0.5392,0.5164,0.4607
Ant,JFreeChart,1020,102,28,74,47,871,0.3733,0.2745,0.3164,0.2567
Ant,JMeter,1020,102,21,81,7,911,0.75,0.2059,0.3231,0.364
Ant,JRuby,1020,102,34,68,9,909,0.7907,0.3333,0.469,0.483
Ant,SQuirrel,1020,102,23,79,8,910,0.7419,0.2255,0.3459,0.3788
Ant,Dubbo,1020,102,22,80,13,905,0.6286,0.2157,0.3212,0.3321
Ant,Gradle,1020,102,15,87,4,914,0.7895,0.1471,0.2479,0.3166
Ant,Groovy,1020,102,22,80,8,910,0.7333,0.2157,0.3333,0.3675
Ant,Hive,1020,102,31,71,10,908,0.7561,0.3039,0.4336,0.4476
Ant,Maven,1020,102,21,81,19,899,0.525,0.2059,0.2958,0.2862
Ant,Poi,1020,102,45,57,12,906,0.7895,0.4412,0.566,0.5591
Ant,SpringFramework,1020,102,16,86,12,906,0.5714,0.1569,0.2462,0.264
Ant,Storm,1020,102,20,82,14,904,0.5882,0.1961,0.2941,0.3022
Ant,Tomcat,1020,102,48,54,17,901,0.7385,0.4706,0.5749,0.5552
Ant,Zookeeper,1020,102,33,69,11,907,0.75,0.3235,0.4521,0.46
ArgoUML,Ant,5426,969,531,438,124,4333,0.8107,0.548,0.6539,0.6115
ArgoUML,Columba,5426,969,893,76,169,4288,0.8409,0.9216,0.8794,0.853
ArgoUML,EMF,5426,969,860,109,187,4270,0.8214,0.8875,0.8532,0.8207
ArgoUML,Hibernate,5426,969,856,113,174,4283,0.8311,0.8834,0.8564,0.8246
ArgoUML,JEdit,5426,969,766,203,312,4145,0.7106,0.7905,0.7484,0.6916
ArgoUML,JFreeChart,5426,969,903,66,317,4140,0.7402,0.9319,0.825,0.7897
ArgoUML,JMeter,5426,969,804,165,169,4288,0.8263,0.8297,0.828,0.7905
ArgoUML,JRuby,5426,969,865,104,166,4291,0.839,0.8927,0.865,0.8351
ArgoUML,SQuirrel,5426,969,893,76,213,4244,0.8074,0.9216,0.8607,0.8307
ArgoUML,Dubbo,5426,969,838,131,192,4265,0.8136,0.8648,0.8384,0.8025
ArgoUML,Gradle,5426,969,717,252,105,4352,0.8723,0.7399,0.8007,0.7653
ArgoUML,Groovy,5426,969,776,193,146,4311,0.8416,0.8008,0.8207,0.7833
ArgoUML,Hive,5426,969,848,121,163,4294,0.8388,0.8751,0.8566,0.8249
ArgoUML,Maven,5426,969,690,279,167,4290,0.8051,0.7121,0.7558,0.7085
ArgoUML,Poi,5426,969,892,77,191,4266,0.8236,0.9205,0.8694,0.841
ArgoUML,SpringFramework,5426,969,891,78,218,4239,0.8034,0.9195,0.8576,0.8269
ArgoUML,Storm,5426,969,856,113,174,4283,0.8311,0.8834,0.8564,0.8246
ArgoUML,Tomcat,5426,969,891,78,201,4256,0.8159,0.9195,0.8646,0.8353
ArgoUML,Zookeeper,5426,969,693,276,164,4293,0.8086,0.7152,0.759,0.7124
Columba,Ant,1280,128,40,88,8,1144,0.8333,0.3125,0.4545,0.4825
Columba,ArgoUML,1280,128,100,28,9,1143,0.9174,0.7812,0.8439,0.8313
Columba,EMF,1280,128,82,46,6,1146,0.9318,0.6406,0.7593,0.7534
Columba,Hibernate,1280,128,101,27,8,1144,0.9266,0.7891,0.8523,0.8406
Columba,JEdit,1280,128,80,48,29,1123,0.7339,0.625,0.6751,0.6447
Columba,JFreeChart,1280,128,105,23,16,1136,0.8678,0.8203,0.8434,0.8269
Columba,JMeter,1280,128,84,44,6,1146,0.9333,0.6562,0.7706,0.7639
Columba,JRuby,1280,128,101,27,2,1150,0.9806,0.7891,0.8745,0.8683
Columba,SQuirrel,1280,128,90,38,5,1147,0.9474,0.7031,0.8072,0.7997
Columba,Dubbo,1280,128,95,33,7,1145,0.9314,0.7422,0.8261,0.8155
Columba,Gradle,1280,128,44,84,2,1150,0.9565,0.3438,0.5057,0.5512
Columba,Groovy,1280,128,86,42,4,1148,0.9556,0.6719,0.789,0.7843
Columba,Hive,1280,128,81,47,7,1145,0.9205,0.6328,0.75,0.7431
Columba,Maven,1280,128,50,78,4,1148,0.9259,0.3906,0.5495,0.5778
Columba,Poi,1280,128,109,19,10,1142,0.916,0.8516,0.8826,0.8708
Columba,SpringFramework,1280,128,92,36,7,1145,0.9293,0.7188,0.8106,0.8003
Columba,Storm,1280,128,90,38,2,1150,0.9783,0.7031,0.8182,0.8147
Columba,Tomcat,1280,128,104,24,2,1150,0.9811,0.8125,0.8889,0.8825
Columba,Zookeeper,1280,128,83,45,4,1148,0.954,0.6484,0.7721,0.7688
EMF,Ant,740,74,13,61,5,661,0.7222,0.1757,0.2826,0.3275
EMF,ArgoUML,740,74,22,52,3,663,0.88,0.2973,0.4444,0.4862
EMF,Columba,740,74,21,53,1,665,0.9545,0.2838,0.4375,0.4986
EMF,Hibernate,740,74,29,45,6,660,0.8286,0.3919,0.5321,0.5411
EMF,JEdit,740,74,38,36,29,637,0.5672,0.5135,0.539,0.4913
EMF,JFreeChart,740,74,33,41,21,645,0.6111,0.4459,0.5156,0.478
EMF,JMeter,740,74,24,50,0,666,1.0,0.3243,0.4898,0.5493
EMF,JRuby,740,74,24,50,1,665,0.96,0.3243,0.4848,0.536
EMF,SQuirrel,740,74,30,44,3,663,0.9091,0.4054,0.5607,0.5827
EMF,Dubbo,740,74,20,54,4,662,0.8333,0.2703,0.4082,0.4475
EMF,Gradle,740,74,25,49,3,663,0.8929,0.3378,0.4902,0.5241
EMF,Groovy,740,74,24,50,1,665,0.96,0.3243,0.4848,0.536
EMF,Hive,740,74,29,45,3,663,0.9062,0.3919,0.5472,0.5714
EMF,Maven,740,74,18,56,8,658,0.6923,0.2432,0.36,0.3768
EMF,Poi,740,74,30,44,5,661,0.8571,0.4054,0.5505,0.5623
EMF,SpringFramework,740,74,26,48,10,656,0.7222,0.3514,0.4727,0.469
EMF,Storm,740,74,23,51,4,662,0.8519,0.3108,0.4554,0.4877
EMF,Tomcat,740,74,29,45,0,666,1.0,0.3919,0.5631,0.6059
EMF,Zookeeper,740,74,25,49,6,660,0.8065,0.3378,0.4762,0.4924
Hibernate,Ant,2492,377,104,273,48,2067,0.6842,0.2759,0.3932,0.3791
Hibernate,ArgoUML,2492,377,222,155,15,2100,0.9367,0.5889,0.7231,0.7106
Hibernate,Columba,2492,377,268,109,16,2099,0.9437,0.7109,0.8109,0.7931
Hibernate,EMF,2492,377,268,109,20,2095,0.9306,0.7109,0.806,0.7861
Hibernate,JEdit,2492,377,251,126,107,2008,0.7011,0.6658,0.683,0.6285
Hibernate,JFreeChart,2492,377,282,95,87,2028,0.7642,0.748,0.756,0.7131
Hibernate,JMeter,2492,377,247,130,20,2095,0.9251,0.6552,0.7671,0.7481
Hibernate,JRuby,2492,377,268,109,14,2101,0.9504,0.7109,0.8134,0.7966
Hibernate,SQuirrel,2492,377,266,111,41,2074,0.8664,0.7056,0.7778,0.7481
Hibernate,Dubbo,2492,377,266,111,44,2071,0.8581,0.7056,0.7744,0.7435
Hibernate,Gradle,2492,377,183,194,8,2107,0.9581,0.4854,0.6444,0.6487
Hibernate,Groovy,2492,377,247,130,14,2101,0.9464,0.6552,0.7743,0.7589
Hibernate,Hive,2492,377,255,122,24,2091,0.914,0.6764,0.7774,0.7558
Hibernate,Maven,2492,377,211,166,42,2073,0.834,0.5597,0.6698,0.6405
Hibernate,Poi,2492,377,254,123,23,2092,0.917,0.6737,0.7768,0.7557
Hibernate,SpringFramework,2492,377,271,106,45,2070,0.8576,0.7188,0.7821,0.7512
Hibernate,Storm,2492,377,259,118,20,2095,0.9283,0.687,0.7896,0.77
Hibernate,Tomcat,2492,377,273,104,37,2078,0.8806,0.7241,0.7948,0.7672
Hibernate,Zookeeper,2492,377,226,151,27,2088,0.8933,0.5995,0.7175,0.6961
JEdit,Ant,1950,195,36,159,12,1743,0.75,0.1846,0.2963,0.3442
JEdit,ArgoUML,1950,195,40,155,3,1752,0.9302,0.2051,0.3361,0.4156
JEdit,Columba,1950,195,23,172,1,1754,0.9583,0.1179,0.21,0.3194
JEdit,EMF,1950,195,30,165,3,1752,0.9091,0.1538,0.2632,0.3539
JEdit,Hibernate,1950,195,51,144,11,1744,0.8226,0.2615,0.3969,0.4365
JEdit,JFreeChart,1950,195,48,147,27,1728,0.64,0.2462,0.3556,0.36
JEdit,JMeter,1950,195,41,154,3,1752,0.9318,0.2103,0.3431,0.4213
JEdit,JRuby,1950,195,44,151,2,1753,0.9565,0.2256,0.3651,0.4438
JEdit,SQuirrel,1950,195,54,141,13,1742,0.806,0.2769,0.4122,0.4439
JEdit,Dubbo,1950,195,34,161,15,1740,0.6939,0.1744,0.2787,0.3178
JEdit,Gradle,1950,195,21,174,0,1755,1.0,0.1077,0.1944,0.313
JEdit,Groovy,1950,195,34,161,5,1750,0.8718,0.1744,0.2906,0.3675
JEdit,Hive,1950,195,61,134,15,1740,0.8026,0.3128,0.4502,0.4717
JEdit,Maven,1950,195,26,169,17,1738,0.6047,0.1333,0.2185,0.2526
JEdit,Poi,1950,195,49,146,2,1753,0.9608,0.2513,0.3984,0.4702
JEdit,SpringFramework,1950,195,22,173,4,1751,0.8462,0.1128,0.1991,0.2891
JEdit,Storm,1950,195,25,170,5,1750,0.8333,0.1282,0.2222,0.3056
JEdit,Tomcat,1950,195,53,142,4,1751,0.9298,0.2718,0.4206,0.48
JEdit,Zookeeper,1950,195,29,166,7,1748,0.8056,0.1487,0.2511,0.3225
JFreeChart,Ant,1010,101,21,80,3,906,0.875,0.2079,0.336,0.403
JFreeChart,ArgoUML,1010,101,61,40,7,902,0.8971,0.604,0.7219,0.7138
JFreeChart,Columba,1010,101,68,33,14,895,0.8293,0.6733,0.7432,0.7226
JFreeChart,EMF,1010,101,52,49,5,904,0.9123,0.5149,0.6582,0.6622
JFreeChart,Hibernate,1010,101,71,30,21,888,0.7717,0.703,0.7358,0.7088
JFreeChart,JEdit,1010,101,53,48,29,880,0.6463,0.5248,0.5792,0.5413
JFreeChart,JMeter,1010,101,60,41,14,895,0.8108,0.5941,0.6857,0.6662
JFreeChart,JRuby,1010,101,69,32,18,891,0.7931,0.6832,0.734,0.7093
JFreeChart,SQuirrel,1010,101,53,48,8,901,0.8689,0.5248,0.6543,0.6498
JFreeChart,Dubbo,1010,101,64,37,17,892,0.7901,0.6337,0.7033,0.6793
JFreeChart,Gradle,1010,101,25,76,3,906,0.8929,0.2475,0.3876,0.4463
JFreeChart,Groovy,1010,101,61,40,13,896,0.8243,0.604,0.6971,0.6789
JFreeChart,Hive,1010,101,70,31,17,892,0.8046,0.6931,0.7447,0.7211
JFreeChart,Maven,1010,101,33,68,16,893,0.6735,0.3267,0.44,0.4316
JFreeChart,Poi,1010,101,68,33,17,892,0.8,0.6733,0.7312,0.7073
JFreeChart,SpringFramework,1010,101,57,44,9,900,0.8636,0.5644,0.6826,0.6731
JFreeChart,Storm,1010,101,52,49,13,896,0.8,0.5149,0.6265,0.612
JFreeChart,Tomcat,1010,101,71,30,14,895,0.8353,0.703,0.7634,0.743
JFreeChart,Zookeeper,1010,101,51,50,10,899,0.8361,0.505,0.6296,0.6221
JMeter,Ant,2820,282,113,169,30,2508,0.7902,0.4007,0.5318,0.5317
JMeter,ArgoUML,2820,282,205,77,20,2518,0.9111,0.727,0.8087,0.7961
JMeter,Columba,2820,282,203,79,13,2525,0.9398,0.7199,0.8153,0.8062
JMeter,EMF,2820,282,195,87,34,2504,0.8515,0.6915,0.7632,0.7447
JMeter,Hibernate,2820,282,200,82,28,2510,0.8772,0.7092,0.7843,0.7683
JMeter,JEdit,2820,282,189,93,107,2431,0.6385,0.6702,0.654,0.6147
JMeter,JFreeChart,2820,282,212,70,88,2450,0.7067,0.7518,0.7285,0.6977
JMeter,JRuby,2820,282,204,78,17,2521,0.9231,0.7234,0.8111,0.8
JMeter,SQuirrel,2820,282,200,82,29,2509,0.8734,0.7092,0.7828,0.7664
JMeter,Dubbo,2820,282,184,98,28,2510,0.8679,0.6525,0.7449,0.7298
JMeter,Gradle,2820,282,149,133,11,2527,0.9313,0.5284,0.6742,0.6796
JMeter,Groovy,2820,282,194,88,29,2509,0.87,0.6879,0.7683,0.7521
JMeter,Hive,2820,282,205,77,22,2516,0.9031,0.727,0.8055,0.792
JMeter,Maven,2820,282,138,144,15,2523,0.902,0.4894,0.6345,0.6403
JMeter,Poi,2820,282,216,66,23,2515,0.9038,0.766,0.8292,0.8153
JMeter,SpringFramework,2820,282,207,75,42,2496,0.8313,0.734,0.7797,0.7586
JMeter,Storm,2820,282,197,85,20,2518,0.9078,0.6986,0.7896,0.7775
JMeter,Tomcat,2820,282,203,79,20,2518,0.9103,0.7199,0.804,0.7915
JMeter,Zookeeper,2820,282,187,95,30,2508,0.8618,0.6631,0.7495,0.7331
JRuby,Ant,3652,383,131,252,51,3218,0.7198,0.342,0.4637,0.4596
JRuby,ArgoUML,3652,383,242,141,42,3227,0.8521,0.6319,0.7256,0.7082
JRuby,Columba,3652,383,315,68,28,3241,0.9184,0.8225,0.8678,0.8548
JRuby,EMF,3652,383,200,183,74,3195,0.7299,0.5222,0.6088,0.581
JRuby,Hibernate,3652,383,308,75,52,3217,0.8556,0.8042,0.8291,0.8102
JRuby,JEdit,3652,383,231,152,128,3141,0.6435,0.6031,0.6226,0.5804
JRuby,JFreeChart,3652,383,316,67,176,3093,0.6423,0.8251,0.7223,0.6921
JRuby,JMeter,3652,383,250,133,30,3239,0.8929,0.6527,0.7541,0.7411
