Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,2142,102,24,78,39,2001,0.381,0.2353,0.2909,0.2725
Ant,Columba,2142,102,27,75,5,2035,0.8438,0.2647,0.403,0.4604
Ant,EMF,2142,102,12,90,10,2030,0.5455,0.1176,0.1935,0.2381
Ant,Hibernate,2142,102,28,74,21,2019,0.5714,0.2745,0.3709,0.3763
Ant,JEdit,2142,102,30,72,33,2007,0.4762,0.2941,0.3636,0.3503
Ant,JFreeChart,2142,102,21,81,42,1998,0.3333,0.2059,0.2545,0.2335
Ant,JMeter,2142,102,26,76,7,2033,0.7879,0.2549,0.3852,0.4348
Ant,JRuby,2142,102,31,71,20,2020,0.6078,0.3039,0.4052,0.4108
Ant,SQuirrel,2142,102,14,88,5,2035,0.7368,0.1373,0.2314,0.3062
Ant,Dubbo,2142,102,6,96,3,2037,0.6667,0.0588,0.1081,0.1888
Ant,Gradle,2142,102,10,92,8,2032,0.5556,0.098,0.1667,0.2196
Ant,Groovy,2142,102,22,80,14,2026,0.6111,0.2157,0.3188,0.346
Ant,Hive,2142,102,28,74,21,2019,0.5714,0.2745,0.3709,0.3763
Ant,Maven,2142,102,21,81,20,2020,0.5122,0.2059,0.2937,0.3047
Ant,Poi,2142,102,24,78,12,2028,0.6667,0.2353,0.3478,0.3801
Ant,SpringFramework,2142,102,8,94,7,2033,0.5333,0.0784,0.1368,0.1915
Ant,Storm,2142,102,13,89,25,2015,0.3421,0.1275,0.1857,0.1858
Ant,Tomcat,2142,102,36,66,12,2028,0.75,0.3529,0.48,0.4994
Ant,Zookeeper,2142,102,34,68,21,2019,0.6182,0.3333,0.4331,0.4349
ArgoUML,Ant,5426,969,370,599,69,4388,0.8428,0.3818,0.5256,0.5146
ArgoUML,Columba,5426,969,879,90,160,4297,0.846,0.9071,0.8755,0.848
ArgoUML,EMF,5426,969,885,84,177,4280,0.8333,0.9133,0.8715,0.8433
ArgoUML,Hibernate,5426,969,830,139,184,4273,0.8185,0.8566,0.8371,0.801
ArgoUML,JEdit,5426,969,721,248,190,4267,0.7914,0.7441,0.767,0.7188
ArgoUML,JFreeChart,5426,969,846,123,199,4258,0.8096,0.8731,0.8401,0.8046
