Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,1326,102,19,83,18,1206,0.5135,0.1863,0.2734,0.2776
Ant,Columba,1326,102,36,66,8,1216,0.8182,0.3529,0.4932,0.5154
Ant,EMF,1326,102,16,86,7,1217,0.6957,0.1569,0.256,0.3085
Ant,Hibernate,1326,102,25,77,12,1212,0.6757,0.2451,0.3597,0.3807
Ant,JEdit,1326,102,51,51,50,1174,0.505,0.5,0.5025,0.4612
Ant,JFreeChart,1326,102,26,76,31,1193,0.4561,0.2549,0.327,0.3016
Ant,JMeter,1326,102,23,79,3,1221,0.8846,0.2255,0.3594,0.4287
Ant,JRuby,1326,102,23,79,4,1220,0.8519,0.2255,0.3566,0.4193
Ant,SQuirrel,1326,102,21,81,19,1205,0.525,0.2059,0.2958,0.2966
Ant,Dubbo,1326,102,13,89,7,1217,0.65,0.1275,0.2131,0.2661
Ant,Gradle,1326,102,16,86,4,1220,0.8,0.1569,0.2623,0.3358
Ant,Groovy,1326,102,23,79,6,1218,0.7931,0.2255,0.3511,0.4019
Ant,Hive,1326,102,33,69,12,1212,0.7333,0.3235,0.449,0.4617
Ant,Maven,1326,102,22,80,17,1207,0.5641,0.2157,0.3121,0.3183
Ant,Poi,1326,102,31,71,10,1214,0.7561,0.3039,0.4336,0.4553
Ant,SpringFramework,1326,102,13,89,2,1222,0.8667,0.1275,0.2222,0.317
Ant,Storm,1326,102,21,81,18,1206,0.5385,0.2059,0.2979,0.3015
Ant,Tomcat,1326,102,42,60,11,1213,0.7925,0.4118,0.5419,0.5479
Ant,Zookeeper,1326,102,29,73,8,1216,0.7838,0.2843,0.4173,0.4494
ArgoUML,Ant,5426,969,595,374,129,4328,0.8218,0.614,0.7029,0.659
ArgoUML,Columba,5426,969,899,70,184,4273,0.8301,0.9278,0.8762,0.8495
ArgoUML,EMF,5426,969,893,76,187,4270,0.8269,0.9216,0.8716,0.8438
ArgoUML,Hibernate,5426,969,879,90,191,4266,0.8215,0.9071,0.8622,0.8319
ArgoUML,JEdit,5426,969,605,364,199,4258,0.7525,0.6244,0.6825,0.625
ArgoUML,JFreeChart,5426,969,910,59,252,4205,0.7831,0.9391,0.8541,0.824
ArgoUML,JMeter,5426,969,835,134,159,4298,0.84,0.8617,0.8507,0.8179
ArgoUML,JRuby,5426,969,816,153,146,4311,0.8482,0.8421,0.8452,0.8116
ArgoUML,SQuirrel,5426,969,880,89,184,4273,0.8271,0.9082,0.8657,0.8362
ArgoUML,Dubbo,5426,969,595,374,89,4368,0.8699,0.614,0.7199,0.6855
ArgoUML,Gradle,5426,969,670,299,104,4353,0.8656,0.6914,0.7688,0.7317
ArgoUML,Groovy,5426,969,786,183,129,4328,0.859,0.8111,0.8344,0.8001
ArgoUML,Hive,5426,969,870,99,195,4262,0.8169,0.8978,0.8555,0.8236
ArgoUML,Maven,5426,969,627,342,122,4335,0.8371,0.6471,0.7299,0.6881
ArgoUML,Poi,5426,969,875,94,164,4293,0.8422,0.903,0.8715,0.8432
ArgoUML,SpringFramework,5426,969,880,89,174,4283,0.8349,0.9082,0.87,0.8414
ArgoUML,Storm,5426,969,857,112,165,4292,0.8386,0.8844,0.8609,0.8301
ArgoUML,Tomcat,5426,969,852,117,169,4288,0.8345,0.8793,0.8563,0.8245
ArgoUML,Zookeeper,5426,969,753,216,166,4291,0.8194,0.7771,0.7977,0.7555
Columba,Ant,1664,128,54,74,4,1532,0.931,0.4219,0.5806,0.6091
Columba,ArgoUML,1664,128,86,42,3,1533,0.9663,0.6719,0.7926,0.7934
Columba,EMF,1664,128,90,38,6,1530,0.9375,0.7031,0.8036,0.7991
Columba,Hibernate,1664,128,102,26,13,1523,0.887,0.7969,0.8395,0.8283
Columba,JEdit,1664,128,80,48,32,1504,0.7143,0.625,0.6667,0.6425
Columba,JFreeChart,1664,128,104,24,17,1519,0.8595,0.8125,0.8353,0.8224
Columba,JMeter,1664,128,85,43,1,1535,0.9884,0.6641,0.7944,0.7985
Columba,JRuby,1664,128,92,36,2,1534,0.9787,0.7188,0.8288,0.8281
Columba,SQuirrel,1664,128,87,41,3,1533,0.9667,0.6797,0.7982,0.7984
Columba,Dubbo,1664,128,69,59,5,1531,0.9324,0.5391,0.6832,0.6926
Columba,Gradle,1664,128,39,89,0,1536,1.0,0.3047,0.4671,0.5367
Columba,Groovy,1664,128,83,45,7,1529,0.9222,0.6484,0.7615,0.7585
Columba,Hive,1664,128,89,39,12,1524,0.8812,0.6953,0.7773,0.7672
Columba,Maven,1664,128,52,76,3,1533,0.9455,0.4062,0.5683,0.6026
Columba,Poi,1664,128,98,30,4,1532,0.9608,0.7656,0.8522,0.8476
