Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 520, 526, 397, 27897, 0.567, 0.497, 0.530, 0.937, 14.906
ArgoUML, 648, 398, 546, 27748, 0.543, 0.620, 0.579, 0.934, 14.223
Columba, 786, 260, 463, 27831, 0.629, 0.751, 0.685, 0.943, 16.652
EMF, 715, 331, 570, 27724, 0.556, 0.684, 0.613, 0.936, 14.607
Hibernate, 759, 287, 616, 27678, 0.552, 0.726, 0.627, 0.935, 14.483
JEdit, 566, 480, 1427, 26867, 0.284, 0.541, 0.372, 0.874, 6.966
JFreeChart, 714, 332, 761, 27533, 0.484, 0.683, 0.566, 0.926, 12.578
JMeter, 723, 323, 391, 27903, 0.649, 0.691, 0.669, 0.945, 17.205
JRuby, 776, 270, 348, 27946, 0.690, 0.742, 0.715, 0.948, 18.365
SQuirrel, 756, 290, 451, 27843, 0.626, 0.723, 0.671, 0.943, 16.569
Dubbo, 628, 418, 383, 27911, 0.621, 0.600, 0.611, 0.943, 16.424
Gradle, 561, 485, 413, 27881, 0.576, 0.536, 0.555, 0.938, 15.156
Groovy, 643, 403, 287, 28007, 0.691, 0.615, 0.651, 0.948, 18.394
Maven, 638, 408, 664, 27630, 0.490, 0.610, 0.543, 0.927, 12.745
Poi, 799, 247, 372, 27922, 0.682, 0.764, 0.721, 0.948, 18.139
SpringFramework, 703, 343, 302, 27992, 0.700, 0.672, 0.686, 0.949, 18.621
Storm, 640, 406, 339, 27955, 0.654, 0.612, 0.632, 0.945, 17.337
Tomcat, 780, 266, 577, 27717, 0.575, 0.746, 0.649, 0.938, 15.123
Zookeeper, 614, 432, 371, 27923, 0.623, 0.587, 0.605, 0.943, 16.485
