Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 603, 366, 169, 4288, 0.781, 0.622, 0.693, 0.771, 3.374
Columba, 873, 96, 182, 4275, 0.827, 0.901, 0.863, 0.784, 3.634
EMF, 803, 166, 190, 4267, 0.809, 0.829, 0.819, 0.779, 3.528
Hibernate, 828, 141, 213, 4244, 0.795, 0.854, 0.824, 0.775, 3.454
JEdit, 592, 377, 180, 4277, 0.767, 0.611, 0.680, 0.767, 3.294
JFreeChart, 780, 189, 228, 4229, 0.774, 0.805, 0.789, 0.769, 3.333
JMeter, 796, 173, 176, 4281, 0.819, 0.821, 0.820, 0.782, 3.586
JRuby, 852, 117, 178, 4279, 0.827, 0.879, 0.852, 0.784, 3.632
SQuirrel, 892, 77, 221, 4236, 0.801, 0.921, 0.857, 0.777, 3.488
Dubbo, 664, 305, 140, 4317, 0.826, 0.685, 0.749, 0.784, 3.625
Gradle, 665, 304, 125, 4332, 0.842, 0.686, 0.756, 0.788, 3.714
Groovy, 705, 264, 139, 4318, 0.835, 0.728, 0.778, 0.786, 3.677
Hive, 837, 132, 188, 4269, 0.817, 0.864, 0.840, 0.781, 3.573
Maven, 736, 233, 163, 4294, 0.819, 0.760, 0.788, 0.782, 3.584
Poi, 872, 97, 184, 4273, 0.826, 0.900, 0.861, 0.784, 3.624
SpringFramework, 793, 176, 174, 4283, 0.820, 0.818, 0.819, 0.782, 3.592
Storm, 715, 254, 137, 4320, 0.839, 0.738, 0.785, 0.787, 3.699
Tomcat, 834, 135, 210, 4247, 0.799, 0.861, 0.829, 0.776, 3.473
Zookeeper, 729, 240, 175, 4282, 0.806, 0.752, 0.778, 0.779, 3.516
