Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 27.9, 74.1, 32.9, 2917.1, 0.480, 0.274, 0.340, 0.928, 13.370
ArgoUML, 766.8, 202.2, 177.5, 4279.5, 0.812, 0.791, 0.799, 0.780, 3.547
Columba, 82.7, 45.3, 20.2, 3941.8, 0.811, 0.646, 0.713, 0.961, 24.924
EMF, 23.8, 50.2, 26.5, 2484.5, 0.535, 0.322, 0.391, 0.940, 17.704
Hibernate, 238.8, 138.2, 36.5, 2078.5, 0.869, 0.634, 0.731, 0.825, 4.745
JEdit, 35.7, 159.3, 22.2, 4426.8, 0.630, 0.183, 0.278, 0.932, 14.009
JFreeChart, 49.9, 51.1, 18.3, 2374.7, 0.743, 0.494, 0.581, 0.944, 17.350
JMeter, 178.4, 103.6, 46.1, 3819.9, 0.798, 0.633, 0.703, 0.914, 10.745
JRuby, 221.2, 161.8, 52.9, 3216.1, 0.806, 0.578, 0.665, 0.869, 6.685
SQuirrel, 111.1, 89.9, 51.8, 4220.2, 0.690, 0.553, 0.611, 0.933, 14.347
Dubbo, 40.1, 44.9, 21.2, 1542.8, 0.650, 0.471, 0.540, 0.919, 11.615
Gradle, 221.6, 99.4, 155.7, 2847.3, 0.592, 0.690, 0.634, 0.835, 5.129
Groovy, 170.5, 78.5, 108.8, 4077.2, 0.615, 0.685, 0.646, 0.907, 9.961
Hive, 682.6, 363.4, 509.4, 27784.6, 0.589, 0.653, 0.615, 0.937, 15.525
Maven, 86.6, 49.4, 41.4, 1041.6, 0.682, 0.637, 0.656, 0.836, 5.116
Poi, 389.9, 228.1, 184.4, 14230.6, 0.684, 0.631, 0.652, 0.938, 15.638
SpringFramework, 55.2, 42.8, 84.5, 7529.5, 0.430, 0.563, 0.481, 0.965, 32.807
Storm, 50.1, 41.9, 55.9, 3491.1, 0.501, 0.545, 0.515, 0.946, 18.824
Tomcat, 140.4, 146.6, 165.7, 11765.3, 0.478, 0.489, 0.478, 0.948, 19.366
Zookeeper, 27.4, 35.6, 37.8, 2590.2, 0.452, 0.435, 0.437, 0.944, 18.299
