Avg., 0.20366692716181464, 0.44502344530721966, 0.2723474784069511
Avg., 0.6763906197874509, 0.6752936052179982, 0.6619493284497889
Avg., 0.4110396675061174, 0.745130537025495, 0.5176271467461147
Avg., 0.20791624778309023, 0.4844989118922284, 0.27796472837610847
Avg., 0.6270519465906116, 0.6391377362620916, 0.6211857847791467
Avg., 0.3734506186240231, 0.4145415062733888, 0.38386112130468836
Avg., 0.3471459581089813, 0.6752631511421052, 0.4485645720422939
Avg., 0.4944935423010715, 0.6630455117816324, 0.5560772212961917
Avg., 0.6116537784137261, 0.7174152640354243, 0.6515030629740258
Avg., 0.3554961414319506, 0.5634210498144738, 0.4280447902420182
Avg., 0.40958810576032, 0.6503759321070534, 0.4907835025062136
Avg., 0.39873259415195555, 0.6064144717891653, 0.46868479762701315
Avg., 0.3753807500667701, 0.693336160192405, 0.47901959295797925
Avg., 0.26040286311040345, 0.6325862497094363, 0.36139610585079973
Avg., 0.5083480451265566, 0.6296296249657066, 0.5507611363497468
Avg., 0.32943887792191334, 0.7151752952667124, 0.4428110416549257
Avg., 0.11616118421282946, 0.6223548497966673, 0.1925418437097823
Avg., 0.21265217658788557, 0.5858877899757848, 0.30354654965662153
Avg., 0.200812476972804, 0.6113360302511254, 0.29690423151859313
Avg., 0.15919222135687652, 0.4898132348841669, 0.23568418592319676
